gene	SPE_score	SEL_score	cluster
A1CF	1	3.16227766016838	2
A2M-AS1	0.942857142857143	1.0883809088526	1
A2M	0.941666666666667	0.677202072477852	1
A3GALT2	0.966666666666667	1.82098111528435	2
A4GALT	0.907692307692308	0.869226987360353	1
A4GNT	1	3.16227766016838	2
AAAS	0.466666666666667	0.388349888090854	3
AACS	0.74	0.264785315920089	3
AADAC	1	3.16227766016838	2
AADACL4	1	3.16227766016838	2
AADACP1	0.992307692307692	1.17610371764081	1
AADAT	0.995	0.759586419936851	1
AAED1	0.955555555555555	0.633286617191203	1
AAGAB	0.968421052631579	0.928559218478941	1
AAK1	0.915	0.313378867223893	1
AAMDC	0.93	0.73627385707916	1
AAMP	0.744444444444444	0.354778882623467	3
AANAT	1	3.16227766016838	2
AAR2	1	1.1653431646335	1
AARD	0.981818181818182	1.14956470622871	1
AARS	0.9	0.52704627669473	1
AARS2	0.907142857142857	0.304915778647617	1
AARSD1	0.9125	0.720082299823096	1
AASDH	0.95	1.40545673785261	1
AASDHPPT	1	1.74801474695025	2
AASS	0.918181818181818	0.623609564462324	1
AATBC	0.9625	1.40182224317823	1
AATF	0.983333333333333	1.35526185435788	1
AATK-AS1	0.958333333333333	0.962583349696751	1
AATK	1	3.16227766016838	2
ABALON	0.813333333333333	0.502980719302584	3
ABAT	1	3.16227766016838	2
ABCA1	0.847619047619048	0.471068762542742	3
ABCA11P	0.945454545454546	0.921777197924954	1
ABCA13	0.98	1.79161283295523	2
ABCA17P	1	1.10492102890195	1
ABCA2	0.868421052631579	0.516042011088679	3
ABCA3	1	1.10492102890195	1
ABCA4	1	3.16227766016838	2
ABCA6	1	2.10818510677892	2
ABCA7	0.872222222222222	0.268415837710881	3
ABCA8	0.977777777777778	1.93797296428115	2
ABCA9	0.972727272727273	1.65643115532629	1
ABCB10	0.992857142857143	0.846197011762656	1
ABCB4	1	1.74801474695025	2
ABCB6	0.944444444444444	0.602338601936834	1
ABCB7	0.926666666666667	0.451456842606641	1
ABCB8	0.893333333333333	0.491575460243547	3
ABCB9	0.9	0.843685697138191	1
ABCC1	0.943589743589744	0.426439628745938	1
ABCC13	0.977777777777778	2.36480157759111	2
ABCC2	1	1.74801474695025	2
ABCC3	0.906666666666667	1.0079614376273	1
ABCC4	0.937037037037037	0.389249472080762	1
ABCC5-AS1	0.985714285714286	0.86066296582387	1
ABCC5	0.971428571428571	0.776895443089001	1
ABCC6	1	3.16227766016838	2
ABCD1	0.841666666666667	0.557690429242578	3
ABCD2	0.988888888888889	0.720082299823096	1
ABCD3	0.98	0.63071801355283	1
ABCD4	0.9125	0.6478835438717	1
ABCE1	0.84	0.72975638311578	3
ABCF1	0.866666666666667	0.690065559342354	3
ABCF2	0.914285714285714	0.451456842606641	1
ABCF3	0.883333333333333	0.519191198238887	3
ABCG1	0.89	0.823257300310472	1
ABCG2	0.982608695652174	0.72092846027933	1
ABCG4	0.96	1.65643115532629	1
ABCG5	1	3.16227766016838	2
ABCG8	1	3.16227766016838	2
ABHD1	0.975	0.816496580927726	1
ABHD10	0.938095238095238	0.761935655989233	1
ABHD11-AS1	0.954545454545454	0.621518078757346	1
ABHD11	0.960869565217391	0.655505530106345	1
ABHD12	0.888888888888889	0.368003104621106	3
ABHD13	0.96	0.690065559342354	1
ABHD14A-ACY1	1	1.14867072934085	1
ABHD14A	1	1.14867072934085	1
ABHD14B	1	1.14867072934085	1
ABHD15	0.973333333333333	0.721221220740157	1
ABHD16A	0.871428571428571	0.60380736442456	3
ABHD16B	0.945454545454546	1.46862614204502	1
ABHD17A	0.792307692307692	0.333333333333333	3
ABHD17B	0.907142857142857	0.553494117813825	1
ABHD17C	0.965217391304348	0.839123140435556	1
ABHD18	0.963157894736842	0.814884542670293	1
ABHD2	0.931034482758621	0.522083914404079	1
ABHD3	0.96	0.96421222530079	1
ABHD4	0.942857142857143	0.417698447033037	1
ABHD5	0.975	1.00615390423749	1
ABHD6	0.952631578947368	0.317212204630339	1
ABI1	0.975	0.846197011762656	1
ABI2	1	1.56347191994114	1
ABI3	0.908333333333333	0.984014214305389	1
ABI3BP	0.976923076923077	1.53659074288215	1
ABL1	0.863636363636364	0.658729875828981	3
ABL2	0.966666666666667	0.439025926537757	1
ABLIM1	0.9	0.534466345350312	1
ABLIM2	0.957777777777778	0.537241539926151	1
ABLIM3	0.936842105263158	0.892537891159016	1
ABO	0.96	1.88080168172681	2
ABR	0.941176470588235	0.957088762632805	1
ABRA	0.957142857142857	2.10818510677892	2
ABRACL	0.971428571428571	0.856224241204924	1
ABT1	1	1.69967317119759	2
ABTB1	0.960714285714286	0.533075765111544	1
ABTB2	0.957142857142857	0.432049379893857	1
ACAA1	0.966666666666667	0.765780486227234	1
ACAA2	0.94	0.837950173833242	1
