gene	enhancer	hic_contact
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.005491
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125422682_125425802	0.002485
AACS	chr12_125686849_125687049	0.000825
AADACP1	chr3_151065224_151065562	0.001065
AADACP1	chr3_151461790_151461990	0.00677
AADACP1	chr3_151589339_151589804	0.002455
AADACP1	chr3_151593612_151593894	0.00162
AADACP1	chr3_151621280_151621480	0.001207
AAED1	chr9_98272604_98275074	0.000506
AAED1	chr9_99408387_99409551	0.014141
AAK1	chr2_69851809_69852913	0.009139
AAK1	chr2_69875233_69876012	0.032718
AAK1	chr2_69931589_69931891	0.006453
AAK1	chr2_70367967_70371011	0.001164
AAMDC	chr11_76886328_76887281	0.000635
AAMDC	chr11_77749038_77752301	0.003638
AAMP	chr2_219121592_219122847	0.02183
AAMP	chr2_219180607_219182369	0.004065
AAMP	chr2_219197675_219199894	0.003079
AAMP	chr2_219269231_219272374	0.003335
AARS	chr16_70413889_70416163	0.002731
AARS	chr16_70461653_70463344	0.002245
AARS2	chr6_44272409_44273299	0.018993
AARS2	chr6_44306088_44306584	0.010693
AARSD1	chr17_41080620_41081511	0.005827
AASDHPPT	chr11_106911680_106912099	0.000806
AATBC	chr21_45146776_45149599	0.003331
AATBC	chr21_45225086_45227141	0.030647
AATBC	chr21_45229272_45231423	0.031043
AATBC	chr21_45238331_45238903	0.031043
AATBC	chr21_45254490_45255143	0.013096
ABALON	chr20_30198275_30198866	0.003735
ABALON	chr20_30254504_30254891	0.012381
ABALON	chr20_30261768_30264442	0.013495
ABCA11P	chr4_49000_52155	0.001792
ABCA11P	chr4_470267_471015	0.041159
ABCA11P	chr4_680733_681836	0.002047
ABCA11P	chr4_1194020_1196337	0.000358
ABCA13	chr7_48030911_48032333	0.000976
ABCA13	chr7_48124265_48125273	0.000969
ABCA13	chr7_48429423_48430812	0.001324
ABCA2	chr9_139928131_139928441	0.039674
ABCA2	chr9_139928543_139930713	0.039674
