gene	enhancer	hic_contact
A2M	chr12_8122482_8124588	0.000322
A2M	chr12_8178577_8180047	0.000072
A2M	chr12_8840092_8841121	0.000856
A2M-AS1	chr12_8122482_8124588	0.000154
A2M-AS1	chr12_8178577_8180047	0.000127
A2M-AS1	chr12_8840092_8841121	0.00182
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.007267
AAAS	chr12_53885642_53888193	0.004058
AACS	chr12_125001659_125004288	0.000571
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125411603_125413811	0.001896
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125533489_125535280	0.014326
AADACP1	chr3_152338037_152341578	0.000191
AADACP1	chr3_152373958_152375316	0.000767
AADAT	chr4_170000514_170002583	0.000152
AADAT	chr4_170892345_170893375	0.001311
AAED1	chr9_98272604_98275074	0.000506
AAED1	chr9_98809989_98812114	0.000229
AAED1	chr9_99374252_99375786	0.004037
AAK1	chr2_70016200_70018534	0.002592
AAK1	chr2_70358786_70361985	0.000889
AAK1	chr2_70367967_70371011	0.001164
AAMDC	chr11_77741088_77742255	0.002763
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219269231_219272374	0.003335
AAR2	chr20_35094781_35097174	0.002913
AARD	chr8_116791290_116792381	0.000356
AARD	chr8_117483962_117486044	0.00062
AARD	chr8_117957395_117958939	0.025942
AARD	chr8_118056376_118058100	0.003226
AARS	chr16_70413889_70416163	0.002634
AARS	chr16_70724993_70727696	0.000643
AARS2	chr6_44201602_44203151	0.002714
AARS2	chr6_44235824_44236642	0.008914
AARSD1	chr17_41437396_41439888	0.000771
AARSD1	chr17_41444423_41447393	0.00043
AASDH	chr4_57167127_57169260	0.001842
AASDH	chr4_57665190_57666768	0.001158
AASS	chr7_121436449_121439486	0.000371
AASS	chr7_121471292_121472708	0.000483
AASS	chr7_121775931_121778259	0.029983
AATK-AS1	chr17_78998540_78999992	0.002804
AATK-AS1	chr17_79067547_79069832	0.002638
AATK-AS1	chr17_79315639_79320963	0.000783
ABALON	chr20_30249159_30250844	0.012433
ABALON	chr20_30257782_30259281	0.011666
ABALON	chr20_30299612_30301890	0.042509
ABALON	chr20_30307125_30308235	0.042509
ABAT	chr16_8779621_8780525	0.009718
ABAT	chr16_8812654_8813467	0.036355
ABCA1	chr9_107688452_107689285	0.023979
ABCA1	chr9_107730254_107731798	0.008409
ABCA1	chr9_107752814_107756486	0.00488
ABCA1	chr9_107752814_107756486	0.004879
ABCA1	chr9_107825943_107828040	0.003274
ABCA1	chr9_107880988_107881895	0.002955
ABCA17P	chr16_2741493_2743708	0.001976
ABCA17P	chr16_2953892_2957445	0.000196
ABCA2	chr9_139843665_139845529	0.007322
ABCA2	chr9_139900523_139902201	0.015332
ABCA2	chr9_139919644_139920599	0.039674
ABCA2	chr9_139928543_139930713	0.039674
ABCA2	chr9_139949558_139950718	0.008689
ABCA3	chr16_2741493_2743708	0.001976
ABCA3	chr16_2953892_2957445	0.000196
ABCA7	chr19_1239565_1240622	0.003838
ABCA7	chr19_1250887_1255461	0.004109
ABCA7	chr19_1257970_1263509	0.003216
ABCA8	chr17_66773178_66774585	0.004593
ABCA9	chr17_66773178_66774585	0.003678
ABCB10	chr1_229714461_229715469	0.007546
ABCB10	chr1_230942641_230944246	0.000363
ABCB6	chr2_220154015_220155021	0.00576
ABCB7	chrX_73642346_73643155	0.000424
ABCB7	chrX_73754422_73757299	0.000647
ABCB8	chr7_150709104_150711601	0.010174
ABCB8	chr7_150948298_150950441	0.001274
ABCB9	chr12_123355259_123358555	0.006144
ABCC4	chr13_95619619_95621436	0.000787
ABCC4	chr13_95845902_95846733	0.005128
ABCC4	chr13_95922788_95924316	0.008255
ABCC4	chr13_96039642_96040438	0.004382
ABCC4	chr13_96055726_96057021	0.00415
ABCC5	chr3_184434099_184435937	0.00068
ABCC5-AS1	chr3_184434099_184435937	0.000434
ABCD1	chrX_152991336_152993839	0.056974
ABCD1	chrX_153596798_153600625	0.000942
ABCD2	chr12_39785957_39788869	0.001543
ABCD3	chr1_94559650_94561891	0.001419
ABCD3	chr1_95057205_95058871	0.000914
ABCD4	chr14_75724802_75727356	0.000201
ABCE1	chr4_146653200_146658193	0.000327
ABCE1	chr4_147162366_147164439	0.000139
ABCF2	chr7_150895886_150896908	0.010654
ABCF2	chr7_150948298_150950441	0.008311
ABCF3	chr3_183893810_183895488	0.02023
ABCG1	chr21_43652422_43655511	0.01569
ABCG2	chr4_88446477_88447338	0.000533
ABHD10	chr3_111685489_111687129	0.01248
ABHD11	chr7_73135610_73136832	0.011004
ABHD11	chr7_73156556_73158115	0.032938
ABHD11	chr7_73720504_73721855	0.000819
ABHD12	chr20_25019928_25021488	0.001868
ABHD12	chr20_25299060_25301438	0.008556
ABHD12	chr20_25377621_25380356	0.048053
ABHD14A	chr3_52073497_52075726	0.003704
ABHD14A-ACY1	chr3_52073497_52075726	0.003704
ABHD14B	chr3_52073497_52075726	0.003704
ABHD15	chr17_27703005_27704394	0.004332
ABHD15	chr17_27904702_27905572	0.013963
ABHD15	chr17_27941427_27943235	0.004172
ABHD16A	chr6_31650535_31651820	0.013022
ABHD16A	chr6_31788485_31790774	0.004831
ABHD17A	chr19_1873133_1877014	0.020366
ABHD17A	chr19_1882140_1883300	0.031048
ABHD17A	chr19_2059227_2063058	0.002796
ABHD17B	chr9_73033038_73037630	0.000399
ABHD17B	chr9_73215304_73219585	0.000423
ABHD17C	chr15_80765571_80767601	0.002436
ABHD18	chr4_128543780_128545717	0.001105
ABHD18	chr4_129473314_129475635	0.000242
ABHD18	chr4_129556325_129557747	0.000303
ABHD2	chr15_89633812_89634933	0.031936
ABHD2	chr15_89655248_89657207	0.01137
ABHD2	chr15_89658108_89659956	0.01137
ABHD2	chr15_89740261_89741313	0.002883
ABHD2	chr15_89741895_89743331	0.002883
ABHD2	chr15_89949385_89953569	0.000451
ABHD4	chr14_23316877_23319252	0.0029
ABHD4	chr14_23475161_23477009	0.001377
ABHD5	chr3_43809808_43812797	0.00292
ABHD6	chr3_58149063_58151672	0.002941
ABHD6	chr3_58215660_58217711	0.035211
ABHD6	chr3_58235068_58236336	0.01172
ABHD6	chr3_58237111_58237994	0.01172
ABHD6	chr3_58372440_58375198	0.002435
ABHD6	chr3_58566623_58567798	0.000694
ABI1	chr10_27022796_27024819	0.005252
ABI3BP	chr3_100701480_100702143	0.016178
ABL1	chr9_133699096_133701029	0.016527
ABL1	chr9_133708780_133709542	0.030926
ABL1	chr9_133721101_133723623	0.023674
ABL2	chr1_178340017_178341904	0.000258
ABL2	chr1_179144197_179145226	0.004649
ABL2	chr1_179175614_179176613	0.007857
ABL2	chr1_179783549_179784992	0.000712
ABLIM1	chr10_116063522_116065172	0.001867
ABLIM1	chr10_116266580_116268496	0.007874
ABLIM1	chr10_116310337_116311600	0.005056
ABLIM2	chr4_7807239_7809522	0.001921
ABLIM2	chr4_7961832_7963227	0.001737
ABLIM2	chr4_8011988_8013312	0.002114
ABLIM2	chr4_8143638_8147868	0.011591
ABLIM2	chr4_8395178_8396957	0.002912
ABLIM3	chr5_148522913_148523659	0.032818
ABLIM3	chr5_148532630_148534512	0.013995
ABRACL	chr6_139291869_139293791	0.003774
ABRACL	chr6_139337269_139338666	0.0164
ABRACL	chr6_139469800_139471365	0.002313
ABTB1	chr3_127385587_127386788	0.035367
ABTB1	chr3_127415006_127417603	0.00699
ABTB1	chr3_127426561_127427147	0.005501
ABTB1	chr3_127503712_127507062	0.003153
ABTB1	chr3_128398243_128400997	0.000218
ABTB2	chr11_34195691_34196664	0.009811
ABTB2	chr11_34207503_34208438	0.007821
ABTB2	chr11_34213879_34214918	0.006744
ABTB2	chr11_34287922_34289037	0.004915
ACAA1	chr3_38044747_38047454	0.001914
ACAA1	chr3_39191755_39194074	0.000525
ACAD10	chr12_112073288_112075049	0.004824
ACAD10	chr12_112211391_112214039	0.003622
ACAD8	chr11_133834645_133837872	0.001222
ACAD8	chr11_133903383_133905325	0.001971
ACAD8	chr11_133906231_133908075	0.002159
ACAD8	chr11_133989800_133991466	0.002075
ACAD9	chr3_128398243_128400997	0.003601
ACAD9	chr3_128583187_128584604	0.012063
ACADL	chr2_210305977_210306731	0.000914
ACADL	chr2_210500411_210501155	0.00086
ACADL	chr2_210535419_210536584	0.001073
ACADL	chr2_210798114_210799214	0.00124
ACADL	chr2_210824683_210826054	0.002196
ACADS	chr12_120799025_120801551	0.001162
ACADS	chr12_121157351_121158847	0.025156
ACADSB	chr10_124233600_124236115	0.001142
ACADVL	chr17_7117014_7119379	0.04133
ACAP2	chr3_194978373_194981950	0.001924
ACAP3	chr1_1233919_1235162	0.020345
ACAT1	chr11_108518162_108519321	0.003468
ACBD3	chr1_226296732_226300348	0.003426
ACBD3	chr1_226889317_226891821	0.000371
ACBD4	chr17_43170065_43171422	0.006656
ACBD4	chr17_43187831_43189082	0.00859
ACBD4	chr17_43220574_43222220	0.022695
ACBD5	chr10_27022796_27024819	0.001466
ACBD6	chr1_180894476_180897892	0.00164
ACBD6	chr1_181073571_181075892	0.001553
ACBD6	chr1_181148512_181150264	0.000947
ACBD7	chr10_15126165_15127310	0.028955
ACBD7-DCLRE1CP1	chr10_15126165_15127310	0.028955
ACCS	chr11_43596549_43600130	0.000814
ACCS	chr11_43926349_43927884	0.002929
ACCS	chr11_43944304_43946635	0.00245
ACCS	chr11_44026143_44027059	0.002366
ACD	chr16_67554729_67555927	0.008026
ACER3	chr11_75944985_75947845	0.000569
ACER3	chr11_76548730_76550022	0.008148
ACER3	chr11_76603308_76603941	0.00842
ACHE	chr7_100433336_100435453	0.00245
ACIN1	chr14_23475161_23477009	0.004302
ACKR3	chr2_237466651_237467238	0.013682
ACKR3	chr2_237479766_237480083	0.059851
ACO1	chr9_32378437_32379822	0.033197
ACO1	chr9_33043421_33045163	0.000954
ACO2	chr22_41808493_41811009	0.007363
ACO2	chr22_41839986_41841739	0.013425
ACO2	chr22_41873988_41877770	0.024866
ACO2	chr22_41886809_41888030	0.014341
ACO2	chr22_41904242_41905419	0.012488
ACOT1	chr14_74183978_74186530	0.000967
ACOT11	chr1_54737868_54740123	0.001321
ACOT11	chr1_54953152_54956410	0.002328
ACOT11	chr1_55007336_55009250	0.033202
ACOT11	chr1_55015224_55015520	0.036855
ACOT11	chr1_55046711_55047950	0.004988
ACOT12	chr5_79485013_79490065	0.000307
ACOT12	chr5_81082164_81084554	0.000938
ACOT12	chr5_81146330_81149563	0.001292
ACOT12	chr5_81152770_81154231	0.001432
ACOT12	chr5_81459664_81462150	0.001148
ACOT2	chr14_74183978_74186530	0.001954
ACOT2	chr14_74207278_74212239	0.001784
ACOT7	chr1_6389147_6391286	0.003667
ACOT9	chrX_23862460_23864105	0.002603
ACOT9	chrX_23916708_23917342	0.006119
ACOT9	chrX_23917845_23921035	0.006387
ACOX2	chr3_58372440_58375198	0.00193
ACOX2	chr3_58507740_58509027	0.008966
ACOX2	chr3_58566623_58567798	0.003737
ACOX3	chr4_7807239_7809522	0.000521
ACOX3	chr4_8011988_8013312	0.000451
ACOX3	chr4_8395178_8396957	0.004224
ACOX3	chr4_8438939_8439936	0.02867
ACP2	chr11_47275811_47277079	0.051498
ACP6	chr1_145394876_145399967	0.000044
ACP6	chr1_147070300_147073040	0.003157
ACPP	chr3_133191832_133194890	0.000237
ACRBP	chr12_6721497_6724260	0.008958
ACRBP	chr12_6872834_6874047	0.003001
ACSBG1	chr15_77788224_77790715	0.000132
ACSBG1	chr15_78339821_78341194	0.001979
ACSBG1	chr15_78495369_78496443	0.01096
ACSBG1	chr15_78497005_78499711	0.01096
ACSBG1	chr15_78508209_78509569	0.012397
ACSBG1	chr15_78533129_78533831	0.026829
ACSBG1	chr15_78608006_78609969	0.002306
ACSF2	chr17_47268954_47271892	0.000162
ACSF2	chr17_48440513_48443175	0.004877
ACSL1	chr4_184879925_184882762	0.000222
ACSL1	chr4_185666668_185668988	0.005123
ACSL1	chr4_186487532_186489773	0.000354
ACSL3	chr2_223154890_223156561	0.000519
ACSL3	chr2_223573684_223574651	0.005285
ACSL3	chr2_223918254_223919568	0.001178
ACSL4	chrX_106984061_106986535	0.000066
ACSL4	chrX_108691454_108692674	0.000645
ACSL4	chrX_108872231_108873091	0.00143
ACSL4	chrX_109062107_109063295	0.005039
ACSL4	chrX_109087497_109088387	0.006517
ACSL6	chr5_131293177_131294153	0.003122
ACSL6	chr5_131335066_131335929	0.013803
ACSL6	chr5_131338537_131339994	0.013803
ACSL6	chr5_131343431_131344295	0.030317
ACSM3	chr16_19589756_19590797	0.000173
ACSM3	chr16_19871512_19873911	0.000179
ACSM3	chr16_20621615_20626389	0.001585
ACSM3	chr16_22200688_22204330	0.000154
ACSS1	chr20_24974921_24976132	0.008405
ACSS1	chr20_25019928_25021488	0.013263
ACSS1	chr20_25033912_25035171	0.036775
ACSS1	chr20_25045170_25046957	0.015109
ACSS3	chr12_81488680_81490244	0.008805
ACSS3	chr12_81639279_81640329	0.001788
ACTA2	chr10_90694372_90695802	0.006983
ACTA2	chr10_90760642_90761969	0.014182
ACTA2	chr10_91042483_91045047	0.001203
ACTA2	chr10_91133113_91134950	0.00105
ACTA2	chr10_91234820_91237086	0.000704
ACTA2-AS1	chr10_90686024_90687483	0.028923
ACTA2-AS1	chr10_90694372_90695802	0.028749
ACTA2-AS1	chr10_91234820_91237086	0.00057
ACTB	chr7_5464518_5467477	0.002258
ACTB	chr7_5594288_5598999	0.01803
ACTB	chr7_5601613_5603670	0.008765
ACTB	chr7_5608811_5610560	0.007348
ACTG1	chr17_79315639_79320963	0.007053
ACTG1	chr17_79360196_79363325	0.0041
ACTG1	chr17_79365476_79368237	0.006615
ACTG1	chr17_79454672_79456042	0.014926
ACTL10	chr20_32281259_32282914	0.006889
ACTL6A	chr3_179243999_179245813	0.003973
ACTL6B	chr7_100063472_100064342	0.003379
ACTL6B	chr7_100272375_100274295	0.012941
ACTL6B	chr7_100433336_100435453	0.00259
ACTN1	chr14_68830110_68832091	0.000457
ACTN1	chr14_69404470_69407586	0.006376
ACTN1	chr14_69511812_69513559	0.006525
ACTN1-AS1	chr14_68830110_68832091	0.000457
ACTN1-AS1	chr14_69404470_69407586	0.006376
ACTN1-AS1	chr14_69511812_69513559	0.006525
ACTN2	chr1_236134402_236136056	0.000279
ACTN2	chr1_236865898_236866717	0.008137
ACTN2	chr1_236869108_236869834	0.008137
ACTN4	chr19_38493474_38496286	0.000425
ACTN4	chr19_39148265_39150786	0.017619
ACTN4	chr19_39156226_39158804	0.012368
ACTN4	chr19_39183470_39184836	0.008909
ACTR10	chr14_58704693_58707538	0.007689
ACTR10	chr14_58797431_58798666	0.002293
ACTR1A	chr10_104378952_104381750	0.004604
ACTR1A	chr10_104386976_104388613	0.003637
ACTR1A	chr10_104408661_104409910	0.004929
ACTR1A	chr10_104433318_104436577	0.00248
ACTR2	chr2_64976665_64979457	0.000446
ACTR2	chr2_65526430_65529645	0.001365
ACTR2	chr2_65662478_65664370	0.0021
ACTR3B	chr7_152451318_152452212	0.035152
ACTR3B	chr7_152452837_152453740	0.035152
ACTR3C	chr7_150032093_150033272	0.019032
ACTR3C	chr7_150080655_150081672	0.004297
ACTR3C	chr7_150948298_150950441	0.000325
ACTR5	chr20_37293583_37295504	0.005488
ACTR5	chr20_37302283_37303725	0.004479
ACTR5	chr20_37356856_37360518	0.012394
ACTR6	chr12_100578834_100580174	0.012283
ACVR1	chr2_157255639_157258218	0.000106
ACVR1B	chr12_52426071_52427570	0.002889
ACVR1C	chr2_157255639_157258218	0.000314
ACVR1C	chr2_159601488_159602739	0.000826
ACVR2A	chr2_148604029_148604577	0.025239
ACVR2B	chr3_38044747_38047454	0.001137
ACVR2B	chr3_39191755_39194074	0.00049
ACVR2B-AS1	chr3_38044747_38047454	0.001137
ACVR2B-AS1	chr3_39191755_39194074	0.00049
ACY1	chr3_52073497_52075726	0.003885
ACYP1	chr14_75703672_75704953	0.001265
ACYP1	chr14_75724802_75727356	0.00172
ACYP1	chr14_75777074_75778381	0.001865
ACYP1	chr14_77383572_77387281	0.000081
ACYP2	chr2_54052914_54055234	0.000801
ACYP2	chr2_54333920_54335589	0.011602
ACYP2	chr2_54892523_54894478	0.002579
ADAM12	chr10_126604681_126607297	0.000025
ADAM12	chr10_127930912_127932074	0.002573
ADAM12	chr10_128075328_128076041	0.042847
ADAM12	chr10_128079581_128080464	0.042847
ADAM15	chr1_155042084_155044707	0.010489
ADAM15	chr1_155056592_155059170	0.008729
ADAM17	chr2_9699065_9699524	0.037956
ADAM19	chr5_155107132_155109541	0.000163
ADAM19	chr5_155902442_155904677	0.000517
ADAM19	chr5_156938299_156939355	0.003655
ADAM19	chr5_156954990_156956320	0.004205
ADAM19	chr5_156967212_156969063	0.005135
ADAM19	chr5_156989898_156991678	0.01379
ADAM23	chr2_207317491_207318417	0.011666
ADAM23	chr2_208091438_208092840	0.000224
ADAM32	chr8_38591845_38593401	0.000484
