gene	enhancer	hic_contact
A2M	chr12_8178577_8180047	0.000072
A2M	chr12_9266658_9266866	0.039614
A2M	chr12_9274482_9275061	0.033663
A2M-AS1	chr12_8178577_8180047	0.000127
A3GALT2	chr1_33224098_33227955	0.000318
A3GALT2	chr1_33792932_33793974	0.024396
A3GALT2	chr1_33799609_33800415	0.013669
A3GALT2	chr1_33803674_33805378	0.012047
A3GALT2	chr1_33807385_33808493	0.00961
A3GALT2	chr1_33809170_33809483	0.00961
A3GALT2	chr1_33812192_33814461	0.008055
A4GALT	chr22_43165704_43166544	0.006972
A4GALT	chr22_43200636_43202239	0.004695
A4GALT	chr22_43317527_43319423	0.001367
A4GNT	chr3_137719627_137720589	0.001186
A4GNT	chr3_137738008_137739160	0.001445
A4GNT	chr3_137800588_137802234	0.005494
A4GNT	chr3_137854314_137855459	0.031307
A4GNT	chr3_138580595_138582638	0.000367
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.005491
AACS	chr12_124905906_124908358	0.000159
AACS	chr12_125001659_125004288	0.000571
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125411603_125413811	0.001896
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125533489_125535280	0.014326
AACS	chr12_125577038_125578311	0.005241
AADACP1	chr3_151507647_151508487	0.008487
AADACP1	chr3_151533652_151534537	0.005659
AADAT	chr4_169990988_169992260	0.00028
AADAT	chr4_170228500_170229017	0.000314
AADAT	chr4_170542803_170543839	0.001751
AAED1	chr9_98809989_98812114	0.000229
AAGAB	chr15_67340347_67343394	0.00277
AAGAB	chr15_67396793_67400179	0.00302
AAK1	chr2_69900903_69901712	0.008735
AAK1	chr2_69913930_69914307	0.007614
AAK1	chr2_70367967_70371011	0.001164
AAMDC	chr11_77530412_77530762	0.033844
AAMDC	chr11_77534757_77535323	0.033844
AAMP	chr2_219128404_219130034	0.052162
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219159327_219160506	0.00561
AAMP	chr2_219269231_219272374	0.003335
AAR2	chr20_34652120_34653985	0.001057
AARD	chr8_118958627_118961042	0.000085
AARD	chr8_118968408_118970523	0.000192
AARD	chr8_119115398_119116399	0.000037
AARS	chr16_70326474_70326703	0.054808
AARS2	chr6_44124092_44125065	0.002545
AARS2	chr6_44188783_44190105	0.002834
AARS2	chr6_44204637_44206370	0.003379
AARSD1	chr17_41437396_41439888	0.000771
AASS	chr7_121037383_121038786	0.000754
AASS	chr7_121354514_121355332	0.000218
AASS	chr7_121775931_121778259	0.029983
AATBC	chr21_44762403_44764989	0.00042
AATBC	chr21_44860383_44862580	0.000888
AATBC	chr21_45152916_45155352	0.002992
AATBC	chr21_45234190_45235528	0.031043
AATBC	chr21_45303786_45304787	0.009639
AATBC	chr21_45347654_45349854	0.00582
AATBC	chr21_45396584_45397497	0.009416
AATBC	chr21_45625830_45628563	0.001325
AATF	chr17_35424810_35425851	0.002476
AATK	chr17_79038339_79040072	0.0024
AATK	chr17_79045513_79046566	0.003865
AATK	chr17_79315639_79320963	0.001121
AATK	chr17_79338612_79340454	0.001598
AATK-AS1	chr17_79038339_79040072	0.004086
AATK-AS1	chr17_79338612_79340454	0.001515
AATK-AS1	chr17_79480979_79482725	0.001853
ABALON	chr20_30257782_30259281	0.011666
ABALON	chr20_30261768_30264442	0.013495
ABALON	chr20_30286485_30287597	0.017166
ABALON	chr20_30292089_30295046	0.018426
ABALON	chr20_30295873_30297250	0.01989
ABALON	chr20_30299195_30299515	0.01989
ABALON	chr20_30299612_30301890	0.042509
ABALON	chr20_30307125_30308235	0.042509
ABCA1	chr9_107572857_107573882	0.001754
ABCA1	chr9_107688452_107689285	0.023979
ABCA1	chr9_107730254_107731798	0.008409
ABCA1	chr9_107752814_107756486	0.00488
ABCA1	chr9_107752814_107756486	0.004879
ABCA1	chr9_107825943_107828040	0.003274
ABCA2	chr9_139693312_139695916	0.005466
ABCA2	chr9_139843665_139845529	0.007322
ABCA2	chr9_139919644_139920599	0.039674
ABCA2	chr9_139938247_139939462	0.014086
ABCA2	chr9_140187556_140191867	0.001472
ABCA7	chr19_1027675_1028940	0.017719
ABCA7	chr19_1074124_1076270	0.011771
ABCA7	chr19_1081159_1083135	0.007571
ABCA7	chr19_1250887_1255461	0.004109
ABCA7	chr19_1257970_1263509	0.003216
ABCB10	chr1_229356817_229357792	0.000976
ABCB10	chr1_229685587_229686227	0.043677
ABCB6	chr2_220113651_220115128	0.008863
ABCB7	chrX_73754422_73757299	0.000647
ABCB7	chrX_74122698_74123468	0.000748
ABCB7	chrX_74306545_74306973	0.003567
ABCB8	chr7_150736008_150737352	0.020835
ABCB8	chr7_150757726_150758580	0.010582
ABCB8	chr7_150785334_150787072	0.005763
ABCB9	chr12_123352170_123353324	0.005441
ABCB9	chr12_123355259_123358555	0.006144
ABCB9	chr12_123445937_123447056	0.036329
ABCC1	chr16_15993151_15994173	0.007966
ABCC1	chr16_16039883_16040755	0.051083
ABCC1	chr16_16091995_16092806	0.007946
ABCC1	chr16_16115448_16116869	0.006722
ABCC1	chr16_16121790_16122929	0.005822
ABCC1	chr16_16134921_16136204	0.005025
ABCC13	chr21_15631932_15632977	0.010366
ABCC13	chr21_16493700_16494926	0.000734
ABCC13	chr21_16512344_16514668	0.00093
ABCC3	chr17_48611097_48612134	0.005322
ABCC3	chr17_48618405_48621400	0.006186
ABCC3	chr17_48707768_48709571	0.037131
ABCC3	chr17_48715841_48717059	0.04004
ABCC3	chr17_48763610_48765146	0.008974
ABCC3	chr17_48768656_48771691	0.008945
ABCC4	chr13_95779925_95780979	0.001065
ABCC4	chr13_95922788_95924316	0.008255
ABCC4	chr13_95925825_95927023	0.008933
ABCC4	chr13_95941133_95941841	0.016437
ABCC4	chr13_95948696_95949217	0.039627
ABCC4	chr13_95949702_95950275	0.039627
ABCC4	chr13_95951394_95952201	0.039627
ABCC4	chr13_95966704_95967389	0.012716
ABCC5	chr3_183630767_183631469	0.004572
ABCC5	chr3_183733208_183734177	0.035672
ABCC5-AS1	chr3_183630767_183631469	0.005534
ABCC5-AS1	chr3_183642427_183643555	0.005773
ABCC5-AS1	chr3_183676032_183677399	0.00668
ABCC5-AS1	chr3_183702660_183703623	0.011815
ABCC5-AS1	chr3_183709182_183709516	0.014973
ABCC5-AS1	chr3_183728803_183729440	0.025642
ABCD1	chrX_152984619_152985567	0.021321
ABCD1	chrX_152991336_152993839	0.056974
ABCD1	chrX_153008280_153010524	0.020111
ABCD1	chrX_153192747_153194289	0.003323
ABCD2	chr12_38517884_38519072	0.000226
ABCD2	chr12_38532087_38533162	0.00027
ABCD2	chr12_38542969_38544058	0.000155
ABCD2	chr12_39986001_39986498	0.007256
ABCD2	chr12_40305967_40306945	0.000939
ABCD3	chr1_94533332_94535823	0.00171
ABCD3	chr1_94849109_94851201	0.007767
ABCE1	chr4_146653200_146658193	0.000327
ABCF1	chr6_30582272_30584003	0.007864
ABCF2	chr7_151046093_151047761	0.002723
ABCF3	chr3_183630767_183631469	0.001788
ABCF3	chr3_183893810_183895488	0.02023
ABCG1	chr21_43647543_43648880	0.018952
ABCG1	chr21_43652422_43655511	0.01569
ABCG1	chr21_43880341_43882976	0.002034
ABCG2	chr4_89083748_89084300	0.033587
ABHD1	chr2_28599996_28602375	0.00013
ABHD10	chr3_111456001_111457545	0.002711
ABHD10	chr3_111643131_111643923	0.003143
