gene	enhancer	hic_contact
A1CF	chr10_51566230_51567432	0.000132
A1CF	chr10_52152273_52154246	0.00052
A1CF	chr10_52643462_52643819	0.032664
A1CF	chr10_52650705_52651292	0.033595
A1CF	chr10_52732147_52732830	0.002308
A2M	chr12_8178577_8180047	0.000072
A2M-AS1	chr12_8178577_8180047	0.000127
A4GALT	chr22_43083567_43085288	0.0104
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.007267
AACS	chr12_125411603_125413811	0.001896
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125533489_125535280	0.014326
AACS	chr12_125577038_125578311	0.005241
AADAC	chr3_151514029_151514660	0.008748
AADAC	chr3_151533652_151534537	0.03263
AADACP1	chr3_151514029_151514660	0.007839
AADACP1	chr3_151533652_151534537	0.005659
AADACP1	chr3_151688365_151690580	0.001001
AADAT	chr4_170189996_170190859	0.000409
AAED1	chr9_99153404_99154213	0.002403
AAGAB	chr15_67340347_67343394	0.00277
AAGAB	chr15_67354391_67355282	0.002737
AAK1	chr2_69851809_69852913	0.009139
AAK1	chr2_70006016_70007724	0.001535
AAK1	chr2_70007937_70009355	0.001535
AAK1	chr2_70236744_70238173	0.000554
AAK1	chr2_70367967_70371011	0.001164
AAMDC	chr11_77530412_77530762	0.033844
AAMDC	chr11_77534757_77535323	0.033844
AAMP	chr2_219128404_219130034	0.052162
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219159327_219160506	0.00561
AAMP	chr2_219269231_219272374	0.003335
AARS	chr16_70317507_70318094	0.039658
AARS	chr16_70413889_70416163	0.002731
AARS	chr16_70461653_70463344	0.002245
AARS2	chr6_43242786_43246690	0.000189
AARS2	chr6_43883831_43885889	0.000484
AARS2	chr6_44204637_44206370	0.003379
AARS2	chr6_44277453_44277844	0.041019
AARSD1	chr17_40669494_40672887	0.001079
AARSD1	chr17_41437396_41439888	0.000771
AASS	chr7_121037383_121038786	0.000754
AASS	chr7_121059146_121060097	0.000382
AASS	chr7_121354514_121355332	0.000735
AASS	chr7_121785852_121786802	0.026419
AATF	chr17_35424810_35425851	0.002476
AATK-AS1	chr17_79315639_79320963	0.000783
ABALON	chr20_30283704_30284476	0.015004
ABALON	chr20_30286485_30287597	0.017166
ABALON	chr20_30292089_30295046	0.018426
ABALON	chr20_30295873_30297250	0.01989
ABALON	chr20_30299612_30301890	0.042509
ABALON	chr20_30307125_30308235	0.042509
ABCA1	chr9_107688452_107689285	0.023979
ABCA1	chr9_107730254_107731798	0.008409
ABCA1	chr9_107752814_107756486	0.00488
ABCA1	chr9_107825943_107828040	0.003274
ABCA1	chr9_108081032_108082263	0.001197
ABCA1	chr9_108193746_108195065	0.001492
ABCA11P	chr4_2413888_2416236	0.000122
ABCA17P	chr16_2422666_2423720	0.012495
ABCA17P	chr16_3056573_3059080	0.000466
ABCA2	chr9_139687627_139688215	0.005928
ABCA2	chr9_139693312_139695916	0.003677
ABCA2	chr9_139751845_139754759	0.002616
ABCA2	chr9_139775938_139777377	0.004279
ABCA2	chr9_139795290_139798323	0.003108
ABCA2	chr9_139843665_139845529	0.007322
ABCA2	chr9_139915995_139917131	0.033073
ABCA2	chr9_140021426_140025120	0.003465
ABCA2	chr9_140187556_140191867	0.001472
ABCA3	chr16_2422666_2423720	0.012495
ABCA3	chr16_3056573_3059080	0.000466
ABCA7	chr19_1081159_1083135	0.007571
ABCA7	chr19_1097837_1099078	0.010028
ABCA7	chr19_1250887_1255461	0.004109
ABCA7	chr19_1257970_1263509	0.003216
ABCB10	chr1_228918467_228920581	0.000467
ABCB10	chr1_228971732_228975187	0.000347
ABCB6	chr2_219988036_219990611	0.002265
ABCB6	chr2_220113651_220115128	0.008863
ABCB7	chrX_73754422_73757299	0.000647
ABCB7	chrX_74369556_74369936	0.011068
ABCB8	chr7_150709104_150711601	0.008335
ABCB8	chr7_150736008_150737352	0.020835
ABCB8	chr7_151156143_151158419	0.000763
ABCB9	chr12_123355259_123358555	0.006144
ABCB9	chr12_123371360_123374094	0.004938
ABCB9	chr12_123445937_123447056	0.036329
ABCC1	chr16_15670108_15671689	0.001231
ABCC1	chr16_15684260_15685725	0.000581
ABCC1	chr16_16041589_16042320	0.051083
ABCC1	chr16_16091995_16092806	0.007946
ABCC1	chr16_16121790_16122929	0.005822
ABCC1	chr16_16213861_16215211	0.003488
ABCC13	chr21_15631932_15632977	0.010366
ABCC13	chr21_15639411_15639729	0.013378
ABCC13	chr21_15643010_15643702	0.019329
ABCC13	chr21_15653194_15654439	0.040643
ABCC13	chr21_16235151_16237536	0.001552
ABCC13	chr21_16422678_16425076	0.000693
ABCC13	chr21_16512344_16514668	0.00093
ABCC13	chr21_16827649_16828649	0.000502
ABCC2	chr10_101530230_101530765	0.015312
ABCC2	chr10_101535280_101536306	0.030679
ABCC3	chr17_48618405_48621400	0.006186
ABCC3	chr17_48705114_48706113	0.037131
ABCC3	chr17_48707768_48709571	0.037131
ABCC3	chr17_48713255_48714814	0.04004
ABCC3	chr17_48715841_48717059	0.04004
ABCC3	chr17_48737536_48739868	0.012051
ABCC3	chr17_48763610_48765146	0.008974
ABCC3	chr17_48768656_48771691	0.009607
ABCC3	chr17_48768656_48771691	0.008945
ABCC4	chr13_95922788_95924316	0.008255
ABCC4	chr13_95938089_95938445	0.012912
ABCC4	chr13_95941133_95941841	0.016437
ABCC4	chr13_95948696_95949217	0.039627
ABCC4	chr13_95949702_95950275	0.039627
ABCC5	chr3_183024419_183025820	0.000217
ABCC5	chr3_183647639_183648480	0.00422
ABCC5	chr3_183729992_183730599	0.035672
ABCC5	chr3_183733208_183734177	0.035672
ABCC5-AS1	chr3_183024419_183025820	0.00019
ABCC5-AS1	chr3_183647639_183648480	0.004828
ABCD1	chrX_152964767_152966300	0.006338
ABCD1	chrX_152973120_152974632	0.010088
ABCD1	chrX_152991336_152993839	0.056974
ABCD1	chrX_152996516_152998187	0.056974
ABCD1	chrX_153006174_153006374	0.020111
ABCD1	chrX_153008280_153010524	0.020111
ABCD1	chrX_153192747_153194289	0.003323
ABCD2	chr12_39300406_39300983	0.000267
ABCD2	chr12_40021829_40023128	0.012829
ABCD2	chr12_40410752_40411607	0.000916
ABCD2	chr12_40425770_40427494	0.000989
ABCD2	chr12_40493279_40494174	0.001688
ABCD3	chr1_94849109_94851201	0.007271
ABCD3	chr1_94849109_94851201	0.007767
ABCD4	chr14_74219190_74223687	0.00046
ABCD4	chr14_74761003_74761385	0.03709
ABCD4	chr14_75724802_75727356	0.000201
ABCF1	chr6_30540772_30541493	0.039594
ABCF1	chr6_30582272_30584003	0.007864
ABCF2	chr7_150925456_150925759	0.034348
ABCF2	chr7_151046093_151047761	0.002723
ABCF2	chr7_151156143_151158419	0.001032
ABCF2	chr7_151515799_151517268	0.000656
ABCF3	chr3_183024419_183025820	0.000394
ABCF3	chr3_183896276_183896666	0.052149
ABCG1	chr21_43646827_43647256	0.018952
ABCG1	chr21_43647543_43648880	0.018952
ABCG1	chr21_43652422_43655511	0.01569
ABCG1	chr21_43880341_43882976	0.002034
ABCG2	chr4_89028297_89029503	0.004565
ABCG2	chr4_89055240_89056470	0.006897
ABCG2	chr4_89068372_89069470	0.012004
ABCG2	chr4_89089522_89090215	0.033587
ABCG5	chr2_43036079_43039040	0.000402
ABCG5	chr2_43388750_43390759	0.000255
ABCG5	chr2_43395279_43398163	0.000366
ABCG5	chr2_43420419_43422767	0.000239
ABCG5	chr2_43444552_43449877	0.000403
ABCG5	chr2_44045637_44046216	0.008173
