gene	enhancer	hic_contact
A4GALT	chr22_43118362_43118562	0.055292
A4GALT	chr22_43119116_43119316	0.055292
A4GALT	chr22_43133117_43133317	0.017848
A4GALT	chr22_43165704_43166544	0.006972
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.005491
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125422682_125425802	0.002485
AACS	chr12_125479210_125480467	0.004385
AACS	chr12_125533489_125535280	0.014326
AACS	chr12_125542298_125542498	0.03807
AACS	chr12_125564370_125565101	0.010475
AADAT	chr4_170873853_170874053	0.001453
AADAT	chr4_171123730_171124400	0.001191
AAED1	chr9_99408387_99409551	0.014141
AAGAB	chr15_67200602_67200831	0.001672
AAGAB	chr15_67372646_67374043	0.002702
AAGAB	chr15_67534888_67535400	0.017961
AAK1	chr2_69851809_69852913	0.009139
AAK1	chr2_69875233_69876012	0.032718
AAK1	chr2_69931589_69931891	0.006453
AAMDC	chr11_77344955_77346381	0.002166
AAMDC	chr11_77530412_77530762	0.033844
AAMP	chr2_219121592_219122847	0.02183
AAMP	chr2_219128404_219130034	0.052162
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219197675_219199894	0.003079
AAMP	chr2_219269231_219272374	0.003335
AARS	chr16_70322050_70322250	0.054808
AARS2	chr6_44024231_44027525	0.00064
AARS2	chr6_44204637_44206370	0.003379
AARS2	chr6_44230453_44231696	0.007262
AARS2	chr6_44231973_44232279	0.007262
AARSD1	chr17_41080620_41081511	0.005827
AARSD1	chr17_41120579_41121804	0.040269
AARSD1	chr17_41136539_41137920	0.012839
AARSD1	chr17_41399492_41401248	0.001285
AASS	chr7_121170013_121172072	0.000495
AATBC	chr21_45146776_45149599	0.003331
AATBC	chr21_45229272_45231423	0.031043
AATBC	chr21_45238331_45238903	0.031043
AATBC	chr21_45244469_45244669	0.019525
AATBC	chr21_45254490_45255143	0.013096
AATBC	chr21_45274399_45275328	0.010718
ABCA1	chr9_107537162_107538624	0.002198
ABCA1	chr9_107630612_107632220	0.00417
ABCA1	chr9_107688452_107689285	0.023979
ABCA1	chr9_107730254_107731798	0.008409
ABCA1	chr9_107752814_107756486	0.00488
ABCA1	chr9_107768898_107770121	0.004022
ABCA1	chr9_107825943_107828040	0.003274
ABCA1	chr9_107876753_107877921	0.002935
ABCA1	chr9_107953640_107954371	0.002063
ABCA11P	chr4_49000_52155	0.001792
ABCA11P	chr4_470267_471015	0.041159
ABCA11P	chr4_474250_474535	0.041159
ABCA11P	chr4_680733_681836	0.002047
ABCA13	chr7_47267441_47267641	0.000265
ABCA13	chr7_47292895_47294880	0.000385
ABCA13	chr7_47331099_47331617	0.000227
ABCA13	chr7_47609913_47612028	0.000247
ABCA13	chr7_48030911_48032333	0.000976
ABCA13	chr7_48429423_48430812	0.001324
ABCA17P	chr16_2556932_2558349	0.004962
ABCA2	chr9_139894539_139895174	0.010702
ABCA2	chr9_139915995_139917131	0.033073
ABCA2	chr9_139924569_139925427	0.039674
ABCA2	chr9_139928131_139928441	0.039674
ABCA2	chr9_139928543_139930713	0.039674
ABCA3	chr16_2556932_2558349	0.004962
ABCA4	chr1_94223983_94225255	0.000407
ABCA4	chr1_94584864_94585633	0.037728
ABCA4	chr1_95067824_95069093	0.000386
ABCA4	chr1_95200492_95201805	0.000738
ABCA7	chr19_1027675_1028940	0.017719
ABCA7	chr19_1035437_1035637	0.054171
ABCA7	chr19_1037723_1038915	0.054171
ABCA7	chr19_1068741_1069787	0.01319
ABCA7	chr19_1101337_1102984	0.008509
ABCB10	chr1_229673759_229674042	0.008376
ABCB10	chr1_229703017_229703217	0.010912
ABCB4	chr7_87503331_87504036	0.000972
ABCB6	chr2_220076026_220076568	0.042248
ABCB6	chr2_220090154_220090423	0.015821
ABCB7	chrX_73469695_73471692	0.000171
ABCB7	chrX_73601623_73602804	0.000484
ABCB7	chrX_73754422_73757299	0.000647
ABCB7	chrX_73833140_73833445	0.000606
ABCB8	chr7_150709104_150711601	0.010174
ABCB8	chr7_150730425_150730877	0.042687
ABCB8	chr7_150736008_150737352	0.020835
ABCB8	chr7_150784575_150785002	0.008196
ABCB8	chr7_150785334_150787072	0.005763
ABCC1	chr16_15766152_15767920	0.001185
ABCC1	chr16_16035866_16036066	0.051083
ABCC1	chr16_16036735_16037480	0.051083
ABCC1	chr16_16045840_16046626	0.040107
ABCC1	chr16_16048495_16049031	0.040107
ABCC1	chr16_16069835_16071201	0.009706
ABCC1	chr16_16115448_16116869	0.006722
ABCC1	chr16_16167809_16169063	0.003846
ABCC1	chr16_16169282_16170316	0.003846
ABCC2	chr10_102129954_102131559	0.00055
ABCC3	chr17_48618405_48621400	0.005243
ABCC3	chr17_48718052_48719100	0.04004
ABCC4	chr13_95878376_95880131	0.00465
ABCC4	chr13_95941133_95941841	0.016437
ABCC4	chr13_96132071_96133051	0.002338
ABCC4	chr13_96161865_96162494	0.001509
ABCC5	chr3_183595850_183596467	0.002304
ABCC5	chr3_183740145_183740512	0.03415
ABCC5	chr3_183893810_183895488	0.002854
ABCC5-AS1	chr3_183595850_183596467	0.002075
ABCC5-AS1	chr3_183893810_183895488	0.002381
ABCC6	chr16_16300652_16301604	0.047948
ABCC6	chr16_17352754_17353528	0.00118
ABCD1	chrX_152991336_152993839	0.056974
ABCD1	chrX_152996516_152998187	0.056974
ABCD2	chr12_39300406_39300983	0.000267
ABCD2	chr12_39538434_39539612	0.000401
ABCD2	chr12_39766545_39766985	0.002095
ABCD2	chr12_40619876_40621044	0.000513
ABCD3	chr1_95067824_95069093	0.000786
ABCD3	chr1_95200492_95201805	0.00106
ABCD4	chr14_74765777_74766382	0.03709
ABCF2	chr7_150784575_150785002	0.002512
ABCF2	chr7_150968803_150970367	0.004677
ABCF2	chr7_151046093_151047761	0.002723
ABCF3	chr3_183893810_183895488	0.02023
ABCF3	chr3_183893810_183895488	0.052149
ABCG2	chr4_89098841_89100735	0.010374
ABCG2	chr4_89196575_89197708	0.001908
ABCG2	chr4_89240797_89242571	0.001256
ABCG4	chr11_118985984_118987034	0.008632
ABCG4	chr11_119015640_119016077	0.031267
ABCG4	chr11_119048568_119049306	0.009837
ABHD1	chr2_27303803_27305299	0.003729
ABHD1	chr2_27373638_27374414	0.009833
ABHD10	chr3_111601255_111601455	0.002677
ABHD10	chr3_111623261_111624065	0.003599
ABHD10	chr3_112993623_112996594	0.000098
ABHD11	chr7_72995458_72996692	0.004172
ABHD11	chr7_73001804_73002850	0.004006
ABHD11	chr7_73015142_73016760	0.006451
ABHD11-AS1	chr7_72995458_72996692	0.006015
ABHD11-AS1	chr7_73001804_73002850	0.004858
ABHD11-AS1	chr7_73015142_73016760	0.006607
ABHD12	chr20_25299060_25301438	0.008556
ABHD12	chr20_25305143_25306044	0.006118
ABHD12	chr20_25341335_25342232	0.007931
ABHD13	chr13_109783636_109784793	0.000396
ABHD13	chr13_110435717_110436499	0.000822
ABHD13	chr13_110436533_110437894	0.000822
ABHD15	chr17_27887269_27887731	0.05322
ABHD15	chr17_28032361_28034588	0.00157
ABHD16A	chr6_31694898_31695859	0.013602
ABHD16A	chr6_31702029_31703306	0.011573
ABHD16A	chr6_31706239_31706691	0.009403
ABHD17A	chr19_1854476_1858309	0.007138
ABHD17A	chr19_1854476_1858309	0.007813
ABHD17A	chr19_1873133_1877014	0.020366
ABHD17A	chr19_1895271_1896030	0.027927
ABHD17A	chr19_1896509_1898639	0.027927
ABHD17A	chr19_1901271_1902470	0.018194
ABHD17B	chr9_73033038_73037630	0.000399
ABHD17B	chr9_73033038_73037630	0.000344
ABHD17B	chr9_74512264_74512816	0.012349
ABHD17B	chr9_74570325_74570525	0.004791
ABHD17C	chr15_80935758_80936218	0.00693
ABHD18	chr4_128914215_128914415	0.007711
ABHD18	chr4_128918729_128919463	0.006015
ABHD2	chr15_89610444_89612148	0.013156
ABHD2	chr15_89613404_89614018	0.013156
ABHD2	chr15_89619103_89619329	0.013592
ABHD3	chr18_19279132_19280164	0.040236
ABHD4	chr14_23029512_23031455	0.005213
ABHD4	chr14_23306939_23309181	0.00318
ABHD4	chr14_23320032_23321168	0.003297
ABHD4	chr14_23475161_23477009	0.001377
ABHD5	chr3_43750698_43750906	0.007573
ABHD6	chr3_57936752_57938419	0.001266
ABHD6	chr3_57944179_57946269	0.001272
ABHD6	chr3_57969075_57970260	0.00135
ABHD6	chr3_58200183_58201342	0.011464
ABHD6	chr3_58218271_58218584	0.035211
ABHD6	chr3_58257619_58258250	0.007565
ABHD6	chr3_58320255_58322202	0.002311
ABHD6	chr3_58335244_58336662	0.001768
ABHD6	chr3_58337635_58338038	0.001768
ABI1	chr10_26910083_26912135	0.001514
ABI2	chr2_204174549_204174749	0.009888
ABL1	chr9_133721101_133723623	0.023674
ABL1	chr9_133768875_133769906	0.003138
ABL2	chr1_179098280_179099702	0.004735
ABL2	chr1_179144197_179145226	0.004649
ABL2	chr1_179186903_179187514	0.015394
ABLIM3	chr5_148532630_148534512	0.013995
ABR	chr17_1100427_1102067	0.009956
ABR	chr17_1102371_1103065	0.009956
ABR	chr17_1109153_1109916	0.012822
ABR	chr17_1130406_1132002	0.059908
ABR	chr17_1134769_1135169	0.059908
ABR	chr17_1156960_1157747	0.011925
ABRACL	chr6_139350933_139352004	0.025099
ABT1	chr6_26576725_26577950	0.010994
ABTB1	chr3_127310576_127311264	0.003771
ABTB1	chr3_127415006_127417603	0.00699
ABTB1	chr3_127453552_127456300	0.003736
ABTB2	chr11_33914846_33916881	0.000863
ABTB2	chr11_34074357_34075559	0.002061
ABTB2	chr11_34169890_34170816	0.005138
ABTB2	chr11_34392510_34393802	0.006912
ABTB2	chr11_34448278_34449568	0.003397
