gene	enhancer	hic_contact
A2M	chr12_8178577_8180047	0.000072
A2M	chr12_9177238_9178858	0.002077
A2M	chr12_9270555_9271339	0.033663
A2M-AS1	chr12_8178577_8180047	0.000127
A2M-AS1	chr12_9106424_9107514	0.003166
A2M-AS1	chr12_9177238_9178858	0.002491
A3GALT2	chr1_33592478_33594305	0.001833
A3GALT2	chr1_33760745_33761727	0.007919
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.005491
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125405629_125407163	0.00108
AACS	chr12_125411603_125413811	0.001896
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125533489_125535280	0.014326
AADACL4	chr1_12231610_12234163	0.000733
AADACL4	chr1_12237585_12239880	0.000656
AADACL4	chr1_12532300_12534030	0.002657
AADACL4	chr1_12570237_12571650	0.001502
AAED1	chr9_99413997_99414201	0.026755
AAED1	chr9_99448703_99449769	0.005578
AAGAB	chr15_67393069_67394883	0.002543
AAGAB	chr15_67412545_67414868	0.002647
AAGAB	chr15_67426125_67427368	0.002126
AAGAB	chr15_67532670_67534301	0.013623
AAK1	chr2_69869013_69869599	0.024114
AAK1	chr2_69873152_69873352	0.032718
AAK1	chr2_69875233_69876012	0.032718
AAK1	chr2_69877598_69877929	0.032718
AAK1	chr2_69920259_69921572	0.007228
AAK1	chr2_70367967_70371011	0.001164
AAMP	chr2_219121592_219122847	0.02183
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219148844_219149496	0.010689
AAMP	chr2_219269231_219272374	0.003335
AANAT	chr17_74266323_74269462	0.005083
AANAT	chr17_74487622_74490441	0.015163
AANAT	chr17_74502087_74503259	0.021317
AANAT	chr17_74511080_74512211	0.009454
AARD	chr8_116230547_116231490	0.000314
AARD	chr8_116660097_116662335	0.000121
AARD	chr8_117483962_117486044	0.000436
AARD	chr8_117899462_117900038	0.002669
AARD	chr8_118451407_118452689	0.00049
AARS	chr16_70317507_70318094	0.039658
AARS	chr16_70413889_70416163	0.002634
AARS2	chr6_44204637_44206370	0.003379
AARS2	chr6_44230453_44231696	0.007262
AASDH	chr4_57623223_57624940	0.001184
AASDH	chr4_57665190_57666768	0.001158
AASDHPPT	chr11_104575624_104577584	0.00035
AASS	chr7_121077637_121079113	0.000265
AASS	chr7_121170013_121172072	0.000495
AATF	chr17_35077876_35080218	0.002167
AATF	chr17_35300060_35301540	0.052932
AATF	chr17_35446441_35447649	0.002191
ABALON	chr20_30249159_30250844	0.012433
ABALON	chr20_30261768_30264442	0.013495
ABALON	chr20_30304878_30305537	0.042509
ABCA1	chr9_107688452_107689285	0.023979
ABCA1	chr9_107730254_107731798	0.008409
ABCA1	chr9_107752814_107756486	0.00488
ABCA1	chr9_107889855_107890711	0.003527
ABCA11P	chr4_1194020_1196337	0.000358
ABCA2	chr9_139775938_139777377	0.004279
ABCA2	chr9_139795290_139798323	0.003108
ABCA2	chr9_139843665_139845529	0.007322
ABCA2	chr9_139915995_139917131	0.033073
ABCA2	chr9_139928543_139930713	0.039674
ABCA2	chr9_139990006_139991010	0.004768
ABCA7	chr19_1030057_1031303	0.023992
ABCA7	chr19_1044461_1045598	0.064278
ABCA7	chr19_1074124_1076270	0.011771
ABCB6	chr2_220076026_220076568	0.042248
ABCB6	chr2_220112235_220113038	0.008863
ABCB7	chrX_75367294_75369047	0.000326
ABCB8	chr7_150670147_150673378	0.004514
ABCB8	chr7_150704489_150708305	0.008335
ABCB8	chr7_150709104_150711601	0.010174
ABCB8	chr7_150714713_150716293	0.014071
ABCB9	chr12_123371360_123374094	0.004938
ABCC1	chr16_15766152_15767920	0.001185
ABCC1	chr16_16044856_16045056	0.051083
ABCC1	chr16_16045840_16046626	0.040107
ABCC1	chr16_16052432_16053147	0.017998
ABCC1	chr16_16054264_16056121	0.014359
ABCC1	chr16_16118865_16120343	0.006722
ABCC4	chr13_95828914_95829367	0.003045
ABCC4	chr13_95837613_95838650	0.003352
ABCC4	chr13_95948696_95949217	0.039627
ABCC4	chr13_95951394_95952201	0.039627
ABCC5	chr3_183002977_183004539	0.000246
ABCC5-AS1	chr3_183002977_183004539	0.000425
ABCD1	chrX_152991336_152993839	0.056974
ABCD1	chrX_152996516_152998187	0.056974
ABCD1	chrX_153000818_153001072	0.025151
ABCD1	chrX_153005212_153006005	0.020111
ABCD2	chr12_40006570_40006863	0.027629
ABCD2	chr12_40007261_40007601	0.027629
ABCD2	chr12_40011749_40012035	0.027629
ABCD2	chr12_40016162_40016457	0.026057
ABCD2	chr12_40021829_40023128	0.012829
ABCD2	chr12_40023760_40023960	0.012829
ABCD2	chr12_40076347_40077824	0.003186
ABCD3	chr1_94849109_94851201	0.007767
ABCD4	chr14_74765777_74766382	0.03709
ABCD4	chr14_75724802_75727356	0.000201
ABCE1	chr4_146046620_146047543	0.005282
ABCF1	chr6_30509303_30510999	0.011312
ABCF1	chr6_30582272_30584003	0.007864
ABCF2	chr7_150709104_150711601	0.001412
ABCF2	chr7_150903908_150904893	0.011042
ABCF2	chr7_150940338_150942173	0.008603
ABCF2	chr7_151046093_151047761	0.002723
ABCG1	chr21_43607929_43609860	0.011109
ABCG1	chr21_43647543_43648880	0.018952
ABCG1	chr21_43652422_43655511	0.01569
ABCG1	chr21_43657823_43658976	0.010868
ABCG2	chr4_89303045_89304153	0.001185
ABCG2	chr4_89534269_89535099	0.000364
