gene	enhancer	hic_contact
A2M	chr12_8178577_8180047	0.000072
A4GALT	chr22_43083567_43085288	0.0104
A4GALT	chr22_43138498_43140164	0.015271
A4GALT	chr22_43200636_43202239	0.004695
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.005491
AACS	chr12_124905906_124908358	0.000159
AACS	chr12_125001659_125004288	0.000571
AACS	chr12_125401113_125401316	0.001224
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125411603_125413811	0.001896
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125533489_125535280	0.014326
AADACP1	chr3_151492691_151493830	0.027085
AADAT	chr4_169736528_169738862	0.000106
AADAT	chr4_169915611_169916949	0.00017
AADAT	chr4_170052936_170053555	0.000186
AADAT	chr4_171028246_171028446	0.009562
AAED1	chr9_99409612_99409812	0.014141
AAGAB	chr15_67133896_67135688	0.00077
AAGAB	chr15_67427383_67428042	0.002126
AAK1	chr2_69813332_69814174	0.005634
AAK1	chr2_69900903_69901712	0.008735
AAK1	chr2_69913930_69914307	0.007614
AAK1	chr2_70367967_70371011	0.001164
AAMDC	chr11_77530412_77530762	0.033844
AAMDC	chr11_77772175_77773405	0.002003
AAMDC	chr11_77879184_77880677	0.000908
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219146066_219148454	0.010689
AAMP	chr2_219269231_219272374	0.003335
AAR2	chr20_35082783_35083985	0.004032
AARS2	chr6_44188783_44190105	0.002834
AARS2	chr6_44201602_44203151	0.002714
AARS2	chr6_44204637_44206370	0.003379
AARSD1	chr17_41120579_41121804	0.040269
AASDH	chr4_57623223_57624940	0.001184
AASS	chr7_121775342_121775652	0.029983
AASS	chr7_121775931_121778259	0.029983
AATF	chr17_35810013_35810571	0.00039
AATK-AS1	chr17_79045513_79046566	0.003478
AATK-AS1	chr17_79229499_79229699	0.003285
AATK-AS1	chr17_79315639_79320963	0.000783
AATK-AS1	chr17_79480979_79482725	0.001853
ABALON	chr20_30286485_30287597	0.017166
ABALON	chr20_30292089_30295046	0.018426
ABALON	chr20_30298253_30298824	0.01989
ABALON	chr20_30299612_30301890	0.042509
ABCA1	chr9_107630612_107632220	0.00417
ABCA1	chr9_107688452_107689285	0.023979
ABCA1	chr9_107730254_107731798	0.008409
ABCA1	chr9_107752814_107756486	0.00488
ABCA1	chr9_107752814_107756486	0.004879
ABCA11P	chr4_1033169_1034111	0.000463
ABCA11P	chr4_1075170_1076609	0.000536
ABCA17P	chr16_2281104_2281591	0.002171
ABCA17P	chr16_2381506_2382051	0.015248
ABCA2	chr9_139693312_139695916	0.005466
ABCA2	chr9_139843665_139845529	0.007322
ABCA2	chr9_139900523_139902201	0.015332
ABCA2	chr9_139919644_139920599	0.039674
ABCA2	chr9_139928543_139930713	0.039674
ABCA3	chr16_2281104_2281591	0.002171
ABCA3	chr16_2381506_2382051	0.015248
ABCA7	chr19_1027675_1028940	0.017719
ABCA7	chr19_1101337_1102984	0.008509
ABCA7	chr19_1178858_1179440	0.004655
ABCA7	chr19_1243949_1246823	0.003275
ABCA7	chr19_1250887_1255461	0.004109
ABCA7	chr19_1257970_1263509	0.003216
ABCA9	chr17_66729360_66730749	0.001336
ABCA9	chr17_66730903_66731103	0.001126
ABCA9	chr17_66755304_66756564	0.001845
ABCB10	chr1_229194201_229195830	0.0004
ABCB10	chr1_229698809_229699789	0.028869
ABCB6	chr2_220072527_220073072	0.022369
ABCB7	chrX_73754422_73757299	0.000647
ABCB7	chrX_75367294_75369047	0.000326
ABCB9	chr12_123336200_123337753	0.004996
ABCB9	chr12_123344500_123348153	0.005948
ABCB9	chr12_123355259_123358555	0.006144
ABCB9	chr12_123371360_123374094	0.004938
ABCC1	chr16_16066072_16066272	0.009157
ABCC1	chr16_16067975_16068216	0.009157
ABCC1	chr16_16103344_16103544	0.006361
ABCC1	chr16_16115448_16116869	0.006722
ABCC1	chr16_16124363_16124563	0.005822
ABCC1	chr16_16165228_16165428	0.003846
ABCC1	chr16_16187107_16188188	0.003364
ABCC1	chr16_16189583_16190946	0.003598
ABCC1	chr16_16203245_16204239	0.003928
ABCC3	chr17_48665885_48667696	0.006718
ABCC3	chr17_48703345_48703758	0.016233
ABCC3	chr17_48705114_48706113	0.037131
ABCC3	chr17_48715841_48717059	0.04004
ABCC3	chr17_48737536_48739868	0.012051
ABCC4	chr13_95844099_95845898	0.005549
ABCC4	chr13_95844099_95845898	0.005128
ABCC4	chr13_95852768_95852968	0.005381
ABCC4	chr13_95927510_95928665	0.008933
ABCC4	chr13_95948696_95949217	0.039627
ABCC4	chr13_95966704_95967389	0.012716
ABCC4	chr13_95969001_95969713	0.012716
ABCC5-AS1	chr3_183485664_183486072	0.001155
ABCC5-AS1	chr3_183698136_183699168	0.009253
ABCD1	chrX_152977605_152978028	0.012435
ABCD1	chrX_152991336_152993839	0.056974
ABCD1	chrX_153192747_153194289	0.003323
ABCD1	chrX_153596798_153600625	0.000942
ABCD2	chr12_41606486_41607729	0.000314
ABCD4	chr14_75059071_75060238	0.00096
ABCE1	chr4_146653200_146658193	0.000327
ABCE1	chr4_146856646_146858956	0.000343
ABCF1	chr6_30582272_30584003	0.007864
ABCF2	chr7_150948298_150950441	0.008311
ABCF2	chr7_151046093_151047761	0.002723
ABCF2	chr7_151125160_151127821	0.001208
ABCF3	chr3_183893810_183895488	0.02023
ABCG1	chr21_43652422_43655511	0.01569
ABCG1	chr21_43757700_43759149	0.002566
ABCG2	chr4_87959530_87960843	0.000319
ABCG2	chr4_88038586_88038786	0.000421
ABCG2	chr4_89098841_89100735	0.010374
ABHD10	chr3_111685489_111687129	0.01248
ABHD10	chr3_111690265_111690766	0.027311
ABHD10	chr3_111780337_111780537	0.00249
ABHD11	chr7_73156556_73158115	0.032938
ABHD11	chr7_73160437_73161133	0.015593
ABHD11	chr7_73236097_73237348	0.005419
ABHD11	chr7_73241727_73242901	0.004461
ABHD11	chr7_73246403_73248353	0.003764
ABHD11-AS1	chr7_73156556_73158115	0.013231
ABHD11-AS1	chr7_73160437_73161133	0.008955
ABHD11-AS1	chr7_73236097_73237348	0.003544
ABHD11-AS1	chr7_73241727_73242901	0.003921
ABHD11-AS1	chr7_73246403_73248353	0.003816
ABHD12	chr20_25019928_25021488	0.001868
ABHD12	chr20_25235618_25236380	0.003351
ABHD12	chr20_25289484_25292605	0.008938
ABHD12	chr20_25363446_25363646	0.013846
ABHD12	chr20_25364756_25365779	0.042738
ABHD12	chr20_25375621_25376012	0.048053
ABHD15	chr17_27955411_27955863	0.00336
ABHD16A	chr6_31685245_31686584	0.018594
ABHD16A	chr6_31788485_31790774	0.004831
ABHD16B	chr20_62243379_62244684	0.003106
ABHD16B	chr20_62372132_62373118	0.007221
ABHD16B	chr20_62465934_62467251	0.013137
ABHD16B	chr20_62468512_62469204	0.013137
ABHD16B	chr20_62485366_62488030	0.056349
ABHD16B	chr20_62488392_62491036	0.056349
ABHD16B	chr20_62579501_62581508	0.003945
ABHD17A	chr19_1873133_1877014	0.020366
ABHD17A	chr19_2049361_2050237	0.003756
ABHD17A	chr19_2059227_2063058	0.002796
ABHD17B	chr9_73033038_73037630	0.000399
ABHD17B	chr9_73033038_73037630	0.000344
ABHD17C	chr15_80851593_80851793	0.002897
ABHD17C	chr15_80908100_80908907	0.004117
ABHD17C	chr15_80994097_80994542	0.031207
ABHD18	chr4_129473314_129475635	0.000242
ABHD18	chr4_129520864_129523466	0.000355
ABHD18	chr4_129581336_129582505	0.000245
ABHD2	chr15_90589296_90591877	0.000175
ABHD2	chr15_90604641_90606987	0.000126
ABHD3	chr18_19252542_19253331	0.008869
ABHD3	chr18_19254941_19255632	0.0111
ABHD3	chr18_19264657_19265982	0.016039
ABHD4	chr14_23029512_23031455	0.005213
ABHD4	chr14_23082240_23084140	0.017209
ABHD6	chr3_58149063_58151672	0.002941
ABHD6	chr3_58160677_58161965	0.005054
ABHD6	chr3_58317159_58317359	0.002111
ABHD6	chr3_58570123_58571533	0.000786
ABI2	chr2_204205209_204206168	0.010694
ABI2	chr2_204443289_204444755	0.000806
ABI3	chr17_47268954_47271892	0.020026
ABI3BP	chr3_100583828_100584303	0.001879
ABI3BP	chr3_100633227_100633427	0.002569
ABI3BP	chr3_100701480_100702143	0.016178
ABI3BP	chr3_100707046_100707246	0.02983
ABI3BP	chr3_100710431_100710631	0.034655
ABI3BP	chr3_100713835_100714411	0.034655
ABI3BP	chr3_100754802_100756009	0.004778
ABL1	chr9_133699096_133701029	0.016527
ABL1	chr9_133711646_133711916	0.059876
ABL1	chr9_133721101_133723623	0.023674
ABL1	chr9_133735402_133736666	0.008564
ABL2	chr1_180894476_180897892	0.000117
ABLIM1	chr10_116242230_116242768	0.006136
ABLIM1	chr10_116266580_116268496	0.007874
ABLIM1	chr10_116276048_116276876	0.01215
ABLIM1	chr10_116284951_116285670	0.034268
ABLIM1	chr10_116310337_116311600	0.005056
ABLIM2	chr4_8021799_8022171	0.002725
ABLIM2	chr4_8051847_8052978	0.00322
ABLIM2	chr4_8164357_8165177	0.030706
ABLIM2	chr4_8189908_8191513	0.007418
ABLIM2	chr4_8395178_8396957	0.002912
ABLIM2	chr4_8436467_8438016	0.002439
ABLIM2	chr4_8507838_8509781	0.000723
ABLIM3	chr5_148344998_148346200	0.001545
ABLIM3	chr5_148513454_148515850	0.032818
ABLIM3	chr5_148522913_148523659	0.032818
ABLIM3	chr5_148532630_148534512	0.013995
ABLIM3	chr5_149883048_149885080	0
ABO	chr9_136112161_136115593	0.006028
ABO	chr9_136125867_136126615	0.009791
ABO	chr9_136127157_136128417	0.009791
ABO	chr9_136132333_136133802	0.012213
ABRACL	chr6_139138931_139140189	0.003423
ABRACL	chr6_139337269_139338666	0.0164
ABTB1	chr3_127415006_127417603	0.00699
ABTB2	chr11_34331875_34333147	0.006518
ABTB2	chr11_34380558_34381371	0.020542
ABTB2	chr11_34522856_34523891	0.003042
ACAA1	chr3_39191755_39194074	0.000525
ACAA2	chr18_47345955_47347393	0.041637
ACACA	chr17_35810013_35810571	0.006677
ACACA	chr17_35810897_35811097	0.006677
ACAD10	chr12_112034782_112036075	0.003928
ACAD10	chr12_112194952_112196777	0.003793
ACAD10	chr12_112211391_112214039	0.003622
ACAD8	chr11_133820257_133822316	0.001705
ACAD8	chr11_133906231_133908075	0.002159
ACAD8	chr11_134128516_134128870	0.034587
ACAD8	chr11_134820628_134822307	0.000311
ACAD9	chr3_128398243_128400997	0.003363
ACAD9	chr3_128522178_128524173	0.003332
ACADL	chr2_211079541_211080115	0.007987
ACADL	chr2_211086989_211087797	0.018701
ACADL	chr2_211098169_211098781	0.031143
ACADS	chr12_121141064_121141692	0.010601
ACADS	chr12_121197349_121199973	0.006493
ACADS	chr12_121205095_121205295	0.005013
ACADSB	chr10_123891881_123892479	0.000497
ACADSB	chr10_125864198_125867198	0.000639
ACADVL	chr17_7117014_7119379	0.04133
ACAP2	chr3_195171368_195172201	0.016171
ACAP2	chr3_195172373_195172573	0.016171
ACAP2	chr3_195599581_195601253	0.000214
ACAT1	chr11_107998638_107998838	0.033564
ACAT1	chr11_108001517_108001717	0.016864
ACBD3	chr1_226296732_226300348	0.003426
ACBD3	chr1_226320330_226321179	0.00758
ACBD3	chr1_226322583_226323992	0.00758
ACBD4	chr17_43226943_43227675	0.014401
ACBD6	chr1_180892056_180893329	0.001935
ACBD6	chr1_180894476_180897892	0.00164
ACBD6	chr1_180979889_180980773	0.001214
ACBD7	chr10_15126165_15127310	0.028955
ACBD7-DCLRE1CP1	chr10_15126165_15127310	0.028955
ACD	chr16_67554729_67555927	0.008026
ACE2	chrX_15615052_15615252	0.034785
ACER2	chr9_19456503_19457784	0.004872
ACER3	chr11_76478634_76482515	0.002242
ACER3	chr11_76498927_76500363	0.003794
ACIN1	chr14_23475161_23477009	0.004302
ACKR3	chr2_237475843_237477436	0.059851
ACKR3	chr2_237479766_237480083	0.059851
ACLY	chr17_39956835_39958548	0.003003
ACLY	chr17_40100756_40101307	0.010738
ACO1	chr9_32378437_32379822	0.033197
ACO2	chr22_41806190_41808019	0.007363
ACO2	chr22_41808493_41811009	0.007363
ACO2	chr22_41813720_41815080	0.007354
ACO2	chr22_41839986_41841739	0.013425
ACO2	chr22_41843878_41844901	0.013425
ACO2	chr22_41873988_41877770	0.024866
ACOT1	chr14_74099880_74101710	0.004465
ACOT11	chr1_55007336_55009250	0.033202
ACOT11	chr1_55046711_55047950	0.004988
ACOT13	chr6_24720385_24722389	0.004137
ACOT2	chr14_74099880_74101710	0.006142
ACOT4	chr14_74099880_74101710	0.007025
ACOT7	chr1_6660473_6661849	0.001475
ACOT8	chr20_44470337_44471815	0.017085
ACOT9	chrX_23770815_23771601	0.017644
ACOT9	chrX_23815150_23816280	0.004036
ACOT9	chrX_23821895_23822885	0.003947
ACOT9	chrX_23824711_23826409	0.003843
ACOT9	chrX_23907086_23908162	0.004148
ACOT9	chrX_23917845_23921035	0.006387
ACOT9	chrX_24042083_24044302	0.001622
ACOX2	chr3_58317159_58317359	0.003867
ACOX2	chr3_58570123_58571533	0.00452
ACOX3	chr4_8395178_8396957	0.004224
ACOX3	chr4_8436467_8438016	0.02867
ACOX3	chr4_8440544_8441240	0.02867
ACOX3	chr4_8462796_8463625	0.009017
ACOX3	chr4_8474093_8476495	0.004031
ACOX3	chr4_8507838_8509781	0.003473
ACOX3	chr4_8535717_8536671	0.002957
ACP1	chr2_254190_254872	0.015652
ACP2	chr11_47210566_47211487	0.005379
ACP2	chr11_47275811_47277079	0.051498
ACP6	chr1_147010566_147011339	0.003904
ACP6	chr1_147070300_147073040	0.003157
ACP6	chr1_147123530_147123730	0.010428
ACPP	chr3_131984405_131984605	0.004971
ACPP	chr3_132043949_132044881	0.041094
ACPP	chr3_132044947_132045147	0.015113
ACPP	chr3_132056016_132056515	0.009297
ACRBP	chr12_6721497_6724260	0.008958
ACRBP	chr12_6747500_6748114	0.024856
ACRBP	chr12_6872834_6874047	0.003001
ACSF2	chr17_48485311_48485511	0.01593
ACSF2	chr17_48498708_48499551	0.041564
ACSF2	chr17_48505532_48505732	0.040706
ACSF2	chr17_48517484_48518475	0.015934
ACSF2	chr17_48520138_48521556	0.011878
ACSF3	chr16_88835670_88837986	0.00154
ACSF3	chr16_89162984_89165441	0.038372
ACSF3	chr16_89171402_89171602	0.025315
ACSF3	chr16_89306467_89308900	0.002712
ACSL1	chr4_185393057_185394660	0.000867
ACSL1	chr4_185666668_185668988	0.005123
ACSL1	chr4_185697303_185697503	0.005404
ACSL1	chr4_185740958_185741759	0.032293
ACSL3	chr2_223726753_223727360	0.033114
ACSL5	chr10_112581298_112583502	0.000482
ACSL5	chr10_114090197_114090993	0.004613
ACSM3	chr16_20621615_20626389	0.001585
ACSM3	chr16_20684507_20688326	0.001885
ACSM3	chr16_22200688_22204330	0.000154
ACSM5	chr16_20621615_20626389	0.001398
ACSM5	chr16_20684507_20688326	0.00199
ACSM5	chr16_22200688_22204330	0.000041
ACSS1	chr20_24967273_24967872	0.004384
ACSS1	chr20_24980686_24981653	0.00771
ACSS1	chr20_24990329_24990529	0.006941
ACSS1	chr20_24997703_24998753	0.009036
ACSS1	chr20_25003451_25003733	0.009001
ACSS1	chr20_25019928_25021488	0.013263
ACSS1	chr20_25030235_25030967	0.036775
ACSS2	chr20_33850792_33852023	0.003643
ACSS3	chr12_79940167_79942309	0.00015
ACSS3	chr12_80273836_80274515	0.000245
ACSS3	chr12_81171488_81172759	0.001239
ACSS3	chr12_81231081_81232602	0.001371
ACSS3	chr12_81478427_81480501	0.011021
ACTA2	chr10_90696691_90697040	0.006983
ACTA2-AS1	chr10_90694372_90695802	0.028749
ACTA2-AS1	chr10_90696691_90697040	0.028749
ACTB	chr7_5464518_5467477	0.002258
ACTB	chr7_5571259_5572883	0.059924
ACTB	chr7_5594288_5598999	0.01803
ACTC1	chr15_34786866_34787545	0.003487
ACTC1	chr15_34806353_34808725	0.001227
ACTC1	chr15_35092634_35093167	0.038293
ACTG1	chr17_79229499_79229699	0.005795
ACTG1	chr17_79315639_79320963	0.007053
ACTG1	chr17_79457820_79458384	0.014926
ACTG1	chr17_79473142_79477546	0.055071
ACTG1	chr17_79480979_79482725	0.036841
ACTG1	chr17_79485377_79487235	0.016169
ACTG1	chr17_79490078_79491279	0.011988
ACTL10	chr20_32025268_32025897	0.004956
ACTL10	chr20_32251150_32253000	0.041048
ACTL10	chr20_32281259_32282914	0.006889
ACTL6A	chr3_179390739_179391629	0.001569
ACTN1	chr14_69444024_69445016	0.028831
ACTN1	chr14_69553894_69554094	0.005381
ACTN1-AS1	chr14_69444024_69445016	0.028831
ACTN1-AS1	chr14_69553894_69554094	0.005381
ACTN4	chr19_39139362_39141422	0.033975
ACTN4	chr19_39141587_39144406	0.033975
