gene	enhancer	hic_contact
A2M	chr12_8012000_8013385	0.00017
A2M	chr12_8782134_8782638	0.001242
A2M	chr12_9270555_9271339	0.033663
A2M-AS1	chr12_8012000_8013385	0.000148
A2M-AS1	chr12_8782134_8782638	0.001196
A3GALT2	chr1_33564069_33565929	0.001451
A3GALT2	chr1_33792932_33793974	0.024396
A3GALT2	chr1_33803674_33805378	0.012047
A3GALT2	chr1_33807385_33808493	0.00961
A3GALT2	chr1_33812192_33814461	0.008055
A3GALT2	chr1_33828173_33830715	0.005296
A3GALT2	chr1_33899016_33899861	0.003327
A4GALT	chr22_43083567_43085288	0.0104
A4GALT	chr22_43138498_43140164	0.015271
A4GALT	chr22_43386147_43387708	0.001591
AACS	chr12_125001659_125004288	0.000571
AACS	chr12_125249001_125250947	0.000353
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125411603_125413811	0.001896
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125554085_125555004	0.021182
AACS	chr12_125577038_125578311	0.005241
AADACP1	chr3_150010765_150012129	0.000015
AADAT	chr4_169508090_169509577	0.000201
AADAT	chr4_169543171_169544182	0.000335
AADAT	chr4_169777234_169779400	0.000133
AADAT	chr4_170820531_170821039	0.001626
AADAT	chr4_170821382_170821974	0.001626
AAED1	chr9_97852572_97855548	0.00011
AAGAB	chr15_67336295_67337215	0.002935
AAGAB	chr15_67340347_67343394	0.00277
AAGAB	chr15_67372646_67374043	0.002702
AAGAB	chr15_67390165_67391545	0.002543
AAGAB	chr15_67396793_67400179	0.00302
AAGAB	chr15_67401340_67402369	0.002573
AAGAB	chr15_67441758_67443188	0.002918
AAGAB	chr15_67491821_67492752	0.005085
AAK1	chr2_69404128_69405902	0.000348
AAK1	chr2_69404128_69405902	0.000226
AAK1	chr2_69480258_69481719	0.00055
AAK1	chr2_69879230_69880266	0.032718
AAK1	chr2_70016200_70018534	0.002592
AAMDC	chr11_77033364_77034410	0.000986
AAMDC	chr11_77530412_77530762	0.033844
AAMDC	chr11_77749038_77752301	0.003638
AAMDC	chr11_78131214_78132475	0.000894
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219146066_219148454	0.010689
AAR2	chr20_33892879_33896529	0.00005
AAR2	chr20_34471320_34472620	0.000562
AARD	chr8_117049226_117050679	0.000467
AARD	chr8_117882854_117883297	0.003254
AARD	chr8_117913165_117913665	0.004487
AARD	chr8_117957395_117958939	0.025942
AARD	chr8_118031614_118032457	0.003881
AARD	chr8_118074894_118075849	0.00208
AARD	chr8_118859708_118860753	0.000015
AARS	chr16_70733612_70735899	0.00133
AARS	chr16_70748415_70750488	0.00067
AARS2	chr6_44188783_44190105	0.002834
AARS2	chr6_44276753_44277432	0.041019
AARSD1	chr17_41437396_41439888	0.000771
AARSD1	chr17_41545095_41547486	0.000609
AASDH	chr4_57984976_57985920	0.000248
AASDHPPT	chr11_105882950_105884172	0.003863
AASDHPPT	chr11_106913543_106914694	0.000806
