gene	enhancer	hic_contact
A2M	chr12_8178577_8180047	0.000072
A2M	chr12_9276442_9277205	0.015749
A2M-AS1	chr12_8178577_8180047	0.000127
A4GALT	chr22_43093217_43094001	0.011429
A4GALT	chr22_43107003_43108639	0.021003
A4GALT	chr22_43112242_43113990	0.048778
A4GALT	chr22_43115082_43115616	0.055292
A4GALT	chr22_43138498_43140164	0.015271
A4GALT	chr22_43200636_43202239	0.004695
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.005491
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125411603_125413811	0.001896
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125533489_125535280	0.014326
AADAT	chr4_169690550_169691529	0.000266
AADAT	chr4_169798713_169799462	0.000197
AAED1	chr9_99448703_99449769	0.005578
AAGAB	chr15_67412545_67414868	0.002647
AAK1	chr2_70358786_70361985	0.001012
AAK1	chr2_70367967_70371011	0.001164
AAMDC	chr11_77530412_77530762	0.033844
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219269231_219272374	0.003335
AARS	chr16_70413889_70416163	0.002731
AARS	chr16_70461653_70463344	0.002245
AARS2	chr6_44204637_44206370	0.003379
AARS2	chr6_44230453_44231696	0.007262
AARSD1	chr17_41437396_41439888	0.000771
AASS	chr7_121775931_121778259	0.029983
AATBC	chr21_45146776_45149599	0.003331
AATBC	chr21_45229272_45231423	0.031043
AATBC	chr21_45323334_45324327	0.006661
AATK-AS1	chr17_79124256_79124773	0.017195
AATK-AS1	chr17_79133518_79134893	0.053414
AATK-AS1	chr17_79168803_79169624	0.011717
ABALON	chr20_30251668_30253213	0.012381
ABALON	chr20_30257782_30259281	0.011666
ABALON	chr20_30261768_30264442	0.013495
ABALON	chr20_30286485_30287597	0.017166
ABALON	chr20_30299612_30301890	0.042509
ABCA1	chr9_107630612_107632220	0.00417
ABCA1	chr9_107688452_107689285	0.023979
ABCA1	chr9_107730254_107731798	0.008409
ABCA1	chr9_107752814_107756486	0.00488
ABCA1	chr9_107752814_107756486	0.004879
ABCA1	chr9_107825943_107828040	0.003274
ABCA2	chr9_139795290_139798323	0.003108
ABCA2	chr9_139843665_139845529	0.007322
ABCA2	chr9_139928543_139930713	0.039674
ABCA7	chr19_1027675_1028940	0.017719
ABCA7	chr19_1037723_1038915	0.054171
ABCA7	chr19_1068741_1069787	0.01319
ABCA7	chr19_1101337_1102984	0.008509
ABCA7	chr19_1250887_1255461	0.004109
ABCB4	chr7_87102562_87102798	0.019239
ABCB4	chr7_87113513_87113735	0.027951
ABCB6	chr2_220077969_220078169	0.042248
ABCB7	chrX_73070303_73071588	0.000094
