gene	enhancer	hic_contact
A2M	chr12_9265521_9265721	0.039614
A2M	chr12_9270081_9270281	0.033663
A2M	chr12_9270555_9271339	0.033663
A4GALT	chr22_43083567_43085288	0.0104
A4GALT	chr22_43093217_43094001	0.011429
A4GALT	chr22_43112242_43113990	0.048778
A4GALT	chr22_43115082_43115616	0.055292
A4GALT	chr22_43138498_43140164	0.015271
AAAS	chr12_53717624_53720182	0.038789
AAAS	chr12_53763675_53767069	0.005491
AACS	chr12_124905906_124908358	0.000159
AACS	chr12_125001659_125004288	0.000571
AACS	chr12_125401526_125403149	0.001224
AACS	chr12_125411603_125413811	0.001896
AACS	chr12_125422682_125425802	0.002407
AACS	chr12_125533489_125535280	0.014326
AADAT	chr4_169736528_169738862	0.000106
AADAT	chr4_170935370_170936820	0.002595
AAGAB	chr15_67412545_67414868	0.002647
AAGAB	chr15_67438575_67441014	0.00315
AAGAB	chr15_67480797_67482438	0.0046
AAK1	chr2_69909534_69911496	0.007614
AAK1	chr2_70016200_70018534	0.002592
AAK1	chr2_70367967_70371011	0.001164
AAMP	chr2_219136987_219137956	0.031341
AAMP	chr2_219269231_219272374	0.003335
AAR2	chr20_34811909_34812120	0.019322
AARD	chr8_117239924_117240748	0.000213
AARD	chr8_117439475_117440540	0.000468
AARD	chr8_117529127_117530636	0.000809
AARD	chr8_118012218_118012731	0.003564
AARD	chr8_118045123_118046095	0.002828
AARD	chr8_118074894_118075849	0.00208
AARD	chr8_118968408_118970523	0.000192
AARS	chr16_70413889_70416163	0.002731
AARS2	chr6_44188783_44190105	0.002834
AARS2	chr6_44201602_44203151	0.002714
AARS2	chr6_44204637_44206370	0.003379
AARSD1	chr17_41399492_41401248	0.001285
AASS	chr7_121775931_121778259	0.029983
ABALON	chr20_30249159_30250844	0.012433
ABALON	chr20_30261768_30264442	0.013495
ABALON	chr20_30286485_30287597	0.017166
ABALON	chr20_30299612_30301890	0.042509
ABCA1	chr9_107626832_107627455	0.004723
ABCA1	chr9_107630612_107632220	0.00417
ABCA1	chr9_107688452_107689285	0.023979
ABCA1	chr9_107696935_107697589	0.029164
ABCA1	chr9_107698527_107698896	0.029164
ABCA1	chr9_107730254_107731798	0.008409
ABCA1	chr9_107752814_107756486	0.00488
ABCA1	chr9_107752814_107756486	0.004879
ABCA11P	chr4_66120_68600	0.002017
ABCA11P	chr4_471566_471981	0.041159
ABCA2	chr9_139843665_139845529	0.007322
ABCA2	chr9_139928543_139930713	0.039674
ABCA2	chr9_139949558_139950718	0.008689
ABCA6	chr17_66373497_66375537	0.000136
ABCA6	chr17_66773178_66774585	0.002116
ABCA6	chr17_66904900_66905777	0.001951
ABCA6	chr17_67140122_67140503	0.0576
ABCA7	chr19_1101337_1102984	0.008509
ABCA7	chr19_1250887_1255461	0.004109
ABCA7	chr19_1264650_1267956	0.003002
ABCA8	chr17_66373497_66375537	0.000426
ABCA8	chr17_66755304_66756564	0.002091
ABCA8	chr17_66773178_66774585	0.004593
ABCA8	chr17_66904900_66905777	0.00549
ABCA8	chr17_66946854_66947374	0.028444
ABCA8	chr17_66949368_66949568	0.028444
ABCA9	chr17_66373497_66375537	0.000401
ABCA9	chr17_66379486_66381194	0.000449
ABCA9	chr17_66755304_66756564	0.001845
ABCA9	chr17_66773178_66774585	0.003678
ABCA9	chr17_66904900_66905777	0.002693
ABCA9	chr17_67043344_67044489	0.012249
ABCA9	chr17_67060491_67060691	0.028704
ABCB10	chr1_229698809_229699789	0.028869
ABCB7	chrX_73070303_73071588	0.000094
ABCB7	chrX_73754422_73757299	0.000647
ABCB8	chr7_150668403_150669591	0.003213
ABCB8	chr7_150728036_150728436	0.042687
ABCB8	chr7_150736008_150737352	0.020835
ABCB8	chr7_150785334_150787072	0.005763
ABCB8	chr7_151156143_151158419	0.000763
ABCC1	chr16_15766152_15767920	0.001185
ABCC1	chr16_15948743_15949404	0.003694
ABCC1	chr16_15951901_15952737	0.00432
ABCC1	chr16_16006269_16006469	0.010036
ABCC1	chr16_16045840_16046626	0.040107
ABCC1	chr16_16115448_16116869	0.006722
ABCC1	chr16_16189583_16190946	0.003598
ABCC4	chr13_95922788_95924316	0.008255
ABCC4	chr13_97875598_97878630	0.00027
ABCD1	chrX_152991336_152993839	0.056974
ABCD1	chrX_153008280_153010524	0.020111
ABCD1	chrX_153192747_153194289	0.003323
ABCD2	chr12_40007695_40007895	0.027629
ABCD2	chr12_40010506_40010706	0.027629
ABCD2	chr12_40038622_40039414	0.006457
ABCD3	chr1_94559650_94561891	0.001419
ABCD3	chr1_95328276_95331314	0.000983
ABCD4	chr14_74765777_74766382	0.03709
ABCD4	chr14_75724802_75727356	0.000201
ABCE1	chr4_146653200_146658193	0.000327
ABCE1	chr4_146856646_146858956	0.000343
ABCF1	chr6_30582272_30584003	0.007864
ABCF1	chr6_30649520_30651137	0.00337
ABCF2	chr7_150948298_150950441	0.008311
ABCF2	chr7_151156143_151158419	0.001032
ABCF3	chr3_183893810_183895488	0.02023
ABCG1	chr21_43629918_43630462	0.055817
ABCG1	chr21_43647543_43648880	0.018952
ABCG1	chr21_43652422_43655511	0.01569
ABCG2	chr4_87965690_87967971	0.000204
ABCG2	chr4_88441214_88443886	0.000388
ABCG2	chr4_88938744_88940406	0.002233
ABCG4	chr11_118798606_118801456	0.001015
ABCG4	chr11_119188983_119192718	0.004063
ABHD1	chr2_27377192_27378363	0.009015
ABHD1	chr2_27407927_27408911	0.006206
ABHD10	chr3_111456001_111457545	0.002711
ABHD10	chr3_111520548_111522678	0.001645
ABHD10	chr3_111583558_111584725	0.003944
ABHD10	chr3_111685489_111687129	0.01248
ABHD11	chr7_73117622_73121918	0.006844
ABHD11	chr7_73259292_73260622	0.006076
ABHD11	chr7_73263439_73264110	0.006076
ABHD11	chr7_73264885_73266373	0.006297
ABHD11-AS1	chr7_73117622_73121918	0.00735
ABHD11-AS1	chr7_73259292_73260622	0.004575
ABHD11-AS1	chr7_73263439_73264110	0.004575
ABHD11-AS1	chr7_73264885_73266373	0.005097
ABHD12	chr20_25019928_25021488	0.001868
ABHD12	chr20_25033912_25035171	0.002101
ABHD12	chr20_25289484_25292605	0.008938
ABHD12	chr20_25377621_25380356	0.048053
ABHD13	chr13_109567408_109568953	0.001565
ABHD13	chr13_110746690_110747817	0.000376
ABHD15	chr17_27899339_27900714	0.013963
ABHD16A	chr6_31788485_31790774	0.004831
ABHD16B	chr20_62465934_62467251	0.013137
ABHD16B	chr20_62477436_62480350	0.016689
ABHD16B	chr20_62485366_62488030	0.056349
ABHD16B	chr20_62488392_62491036	0.056349
ABHD17A	chr19_1873133_1877014	0.020366
ABHD17A	chr19_1896509_1898639	0.027927
ABHD17A	chr19_2041154_2043561	0.003852
ABHD17A	chr19_2056121_2057151	0.003227
ABHD17A	chr19_2059227_2063058	0.002796
ABHD17B	chr9_73033038_73037630	0.000399
ABHD18	chr4_128893433_128893633	0.021653
ABHD18	chr4_129305985_129309015	0.000342
ABHD18	chr4_129473314_129475635	0.000242
ABHD2	chr15_89559935_89561904	0.003226
ABHD2	chr15_89633812_89634933	0.031936
ABHD2	chr15_89635891_89636363	0.031936
ABHD2	chr15_89639192_89640312	0.031936
ABHD2	chr15_89644408_89645583	0.014532
ABHD2	chr15_89648191_89649110	0.014532
ABHD3	chr18_19770348_19772519	0.000654
ABHD3	chr18_19926395_19930213	0.000182
ABHD4	chr14_23320032_23321168	0.003297
ABHD6	chr3_58160677_58161965	0.005054
ABHD6	chr3_58224643_58224843	0.035211
ABHD6	chr3_58237111_58237994	0.01172
ABI3	chr17_47268954_47271892	0.01091
ABI3	chr17_47268954_47271892	0.020026
ABI3	chr17_47292675_47292875	0.045926
ABI3	chr17_47294120_47295065	0.045926
ABI3	chr17_47592287_47593825	0.001175
ABI3	chr17_48286750_48288629	0.000261
ABI3BP	chr3_100701480_100702143	0.016178
ABL1	chr9_133655683_133657149	0.007049
ABL1	chr9_133699096_133701029	0.016527
ABL1	chr9_133712287_133712942	0.059876
ABL1	chr9_133714468_133715028	0.059876
ABL1	chr9_133721101_133723623	0.023674
ABL2	chr1_178900694_178902653	0.000791
ABL2	chr1_178907453_178909729	0.000666
ABL2	chr1_179199880_179200080	0.027051
ABL2	chr1_181073571_181075892	0.000178
ABLIM1	chr10_116264603_116265599	0.007928
ABLIM1	chr10_116284951_116285670	0.034268
ABLIM1	chr10_116300658_116302175	0.010941
ABLIM2	chr4_7208091_7209946	0.0004
ABLIM2	chr4_7911398_7913571	0.001432
ABLIM2	chr4_7961832_7963227	0.001737
ABLIM2	chr4_8395178_8396957	0.002912
ABLIM2	chr4_8474093_8476495	0.000894
ABLIM2	chr4_9153607_9155913	0.000184
ABLIM3	chr5_148522913_148523659	0.032818
ABLIM3	chr5_148554982_148555862	0.005423
ABLIM3	chr5_148760041_148762042	0.002369
ABLIM3	chr5_148762605_148763454	0.002369
ABO	chr9_136112161_136115593	0.006028
ABR	chr17_1170562_1172463	0.006754
ABR	chr17_1633233_1634831	0.001015
ABRA	chr8_107775077_107775894	0.028489
ABRA	chr8_107777419_107777936	0.028489
ABRA	chr8_107784657_107785698	0.029785
ABRA	chr8_107795260_107795819	0.009321
ABRA	chr8_107844055_107844491	0.006071
ABRACL	chr6_139154920_139156576	0.002094
ABRACL	chr6_139337269_139338666	0.0164
ABRACL	chr6_139369027_139370218	0.00733
ABRACL	chr6_140084884_140086349	0.000698
ABTB1	chr3_127392889_127393198	0.035367
ABTB1	chr3_127415006_127417603	0.00699
ABTB2	chr11_34190007_34191866	0.008555
ABTB2	chr11_34213879_34214918	0.006744
ABTB2	chr11_34244104_34245350	0.005076
ABTB2	chr11_34287922_34289037	0.004915
ABTB2	chr11_34348883_34350064	0.006398
ABTB2	chr11_34363280_34364032	0.00983
ABTB2	chr11_34380558_34381371	0.020542
ACAD10	chr12_112073288_112075049	0.004824
ACAD10	chr12_112079890_112081506	0.005197
ACAD10	chr12_112211391_112214039	0.003622
ACAD8	chr11_133903383_133905325	0.001971
ACAD8	chr11_133906231_133908075	0.002159
ACAD8	chr11_133908706_133909386	0.002159
ACAD8	chr11_133910178_133911491	0.001869
ACAD8	chr11_133917295_133917894	0.002146
ACAD8	chr11_133989800_133991466	0.002075
ACAD8	chr11_134115265_134115807	0.031061
ACAD8	chr11_134225049_134226110	0.002145
ACAD9	chr3_128335522_128337935	0.002808
ACAD9	chr3_128398243_128400997	0.003601
ACADS	chr12_121676571_121679571	0.000999
ACADVL	chr17_7117014_7119379	0.04133
ACAP2	chr3_194978373_194981950	0.001924
ACAP3	chr1_1241400_1241780	0.058887
ACAP3	chr1_1253513_1254288	0.021303
ACAP3	chr1_1365022_1368198	0.002836
ACAT2	chr6_160137015_160138277	0.004813
ACBD3	chr1_226296732_226300348	0.003426
ACBD4	chr17_43220574_43222220	0.022695
ACBD4	chr17_43274442_43275555	0.014172
ACBD6	chr1_181073571_181075892	0.001553
ACBD6	chr1_181110474_181112932	0.002105
ACBD6	chr1_181121705_181122955	0.001684
ACBD7	chr10_15126165_15127310	0.028955
ACBD7-DCLRE1CP1	chr10_15126165_15127310	0.028955
ACCS	chr11_43944304_43946635	0.002303
ACCS	chr11_44008627_44011765	0.002081
ACCS	chr11_44051578_44052927	0.005094
ACD	chr16_67554729_67555927	0.008026
ACER2	chr9_19183688_19184915	0.002208
ACER2	chr9_19406862_19407062	0.041346
ACER2	chr9_19431129_19432562	0.008919
ACER3	chr11_75944985_75947845	0.000569
ACER3	chr11_76463183_76464375	0.002402
ACER3	chr11_76509315_76510859	0.004427
ACER3	chr11_76782975_76785529	0.001345
ACIN1	chr14_23475161_23477009	0.004302
ACIN1	chr14_23589740_23591286	0.00531
ACKR1	chr1_159167065_159168116	0.037119
ACKR3	chr2_237550720_237552050	0.00237
ACKR4	chr3_132273371_132275913	0.007502
ACKR4	chr3_132288019_132289348	0.009172
ACKR4	chr3_132292567_132293163	0.008029
ACKR4	chr3_132296251_132297007	0.009706
ACKR4	chr3_132311907_132313242	0.036342
ACKR4	chr3_132324153_132325217	0.016329
ACO1	chr9_32378437_32379822	0.033197
ACO2	chr22_41808493_41811009	0.007354
ACO2	chr22_41839986_41841739	0.013425
ACO2	chr22_41843878_41844901	0.013425
ACOT11	chr1_54737868_54740123	0.001321
ACOT11	chr1_54873093_54874297	0.001677
ACOT11	chr1_54953152_54956410	0.002328
ACOT11	chr1_55007336_55009250	0.033202
ACOT8	chr20_44407023_44408624	0.002053
ACOT8	chr20_44470337_44471815	0.017085
ACOT9	chrX_23917845_23921035	0.006387
ACOX2	chr3_58320255_58322202	0.002916
ACOX2	chr3_58518459_58518891	0.028982
ACOX2	chr3_58570123_58571533	0.00452
ACOX3	chr4_7208091_7209946	0.0004
ACOX3	chr4_7961832_7963227	0.000401
ACOX3	chr4_8395178_8396957	0.004224
ACOX3	chr4_8438939_8439936	0.02867
ACOX3	chr4_8474093_8476495	0.004031
ACOX3	chr4_8507838_8509781	0.003473
ACOX3	chr4_9153607_9155913	0.000824
